"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3061743,11,278340,-2889,-1.027276703327182
"Arizona",749587,3,249862,-31367,-11.15354390905632
"Arkansas",1909511,7,272787,-8442,-3.00182413620217
"California",10586223,38,278585,-2644,-0.9401590874340839
"Colorado",1325089,5,265018,-16211,-5.764341515277585
"Connecticut",2007280,7,286754,5525,1.9645911339157769
"Delaware",318085,1,318085,36856,13.105334087167398
"Florida",2771305,10,277130,-4099,-1.4575310512073791
"Georgia",3444578,12,287048,5819,2.069132272987494
"Idaho",588637,2,294318,13089,4.654214181325539
"Illinois",8712176,31,281038,-191,-0.06791618218604767
"Indiana",3934224,14,281016,-213,-0.07573898851114216
"Iowa",2621073,9,291230,10001,3.556176638966821
"Kansas",1905299,7,272186,-9043,-3.215528981719524
"Kentucky",2944806,10,294481,13252,4.712174064552375
"Louisiana",2683516,10,268352,-12877,-4.578830774920083
"Maine",913774,3,304591,23362,8.307109153038983
"Maryland",2343001,8,292875,11646,4.141109202820478
"Massachusetts",4690514,17,275913,-5316,-1.8902744738273791
"Michigan",6371766,23,277033,-4196,-1.4920225154589322
"Minnesota",2982483,11,271135,-10094,-3.589245774795629
"Mississippi",2178914,8,272364,-8865,-3.1522353669073957
"Missouri",3954653,14,282475,1246,0.4430553036848974
"Montana",591024,2,295512,14283,5.078779215514759
"Nebraska",1325510,5,265102,-16127,-5.734472618399952
"Nevada",160083,1,160083,-121146,-43.0773497754499
"New Hampshire",533242,2,266621,-14608,-5.1943433998627455
"New Jersey",4835329,17,284431,3202,1.1385739024069352
"New Mexico",681187,2,340594,59365,21.109131704056125
"New York",14830192,53,279815,-1414,-0.5027930974401644
"North Carolina",4061929,14,290138,8909,3.167880979557585
"North Dakota",619636,2,309818,28589,10.165736819460298
"Ohio",7946627,28,283808,2579,0.9170462505644865
"Oklahoma",2233351,8,279169,-2060,-0.7324991377133937
"Oregon",1521341,5,304268,23039,8.192256132902367
"Pennsylvania",10498012,37,283730,2501,0.8893108463209698
"Rhode Island",791896,3,263965,-17264,-6.138769472565063
"South Carolina",2117027,8,264628,-16601,-5.9030185364951695
"South Dakota",652740,2,326370,45141,16.051331832776846
"Tennessee",3291718,12,274310,-6919,-2.4602725892422193
"Texas",7711194,27,285600,4371,1.554249383954002
"Utah",688862,3,229621,-51608,-18.350881310248944
"Vermont",377747,1,377747,96518,34.3200736766123
"Virginia",3318680,12,276557,-4672,-1.661279597765522
"Washington",2378963,8,297370,16141,5.739450767879557
"West Virginia",2005552,7,286507,5278,1.876762353811307
"Wisconsin",3434575,12,286215,4986,1.7729323789509617
"Wyoming",290529,1,290529,9300,3.306913582880855
"TOTAL",149895183,533,281229,0,0.0
