"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,10,234817,-7051,-2.915226487174823
"Arizona",309754,1,309754,67886,28.067375593298827
"Arkansas",1752204,7,250315,8447,3.492400813666959
"California",3426031,14,244716,2848,1.1775017778292292
"Colorado",939161,4,234790,-7078,-2.9263896009393555
"Connecticut",1380631,6,230105,-11763,-4.863396563414755
"Delaware",223003,1,223003,-18865,-7.7997089321448065
"Florida",968470,4,242118,250,0.10336216448641408
"Georgia",2895832,12,241319,-549,-0.22698331321216533
"Idaho",430442,2,215221,-26647,-11.017166388277904
"Illinois",6485280,27,240196,-1672,-0.6912861560851373
"Indiana",2930390,12,244199,2331,0.9637488216713249
"Iowa",2404021,10,240402,-1466,-0.6061157325483322
"Kansas",1769257,7,252751,10883,4.499561744422578
"Kentucky",2416630,10,241663,-205,-0.08475697487885954
"Louisiana",1798509,7,256930,15062,6.227363685977475
"Maine",768014,3,256005,14137,5.844923677377743
"Maryland",1449661,6,241610,-258,-0.10666975374997933
"Massachusetts",3852356,16,240772,-1096,-0.4531397291084393
"Michigan",3668412,15,244561,2693,1.1134172358476524
"Minnesota",2385656,10,238566,-3302,-1.3652074685365572
"Mississippi",1790618,7,255803,13935,5.76140704847272
"Missouri",3404055,14,243147,1279,0.5288008335124944
"Montana",541511,2,270756,28888,11.94370483073412
"Nebraska",1296372,5,259274,17406,7.196487340202094
"Nevada",75820,1,75820,-166048,-68.65232275456033
"New Hampshire",443083,2,221542,-20326,-8.40375742140341
"New Jersey",3155900,13,242762,894,0.36962310020341677
"New Mexico",353428,2,176714,-65154,-26.937833859791294
"New York",10380987,42,247166,5298,2.190450989796087
"North Carolina",2559123,10,255912,14044,5.806472952188797
"North Dakota",645145,3,215048,-26820,-11.088693006102503
"Ohio",5759394,24,239975,-1893,-0.7826583094911274
"Oklahoma",2028283,8,253535,11667,4.823705492251972
"Oregon",783389,3,261130,19262,7.963848049349231
"Pennsylvania",8720017,36,242223,355,0.146774273570708
"Rhode Island",604397,3,201466,-40402,-16.704152678320405
"South Carolina",1683724,7,240532,-1336,-0.5523674070153969
"South Dakota",631239,3,210413,-31455,-13.005027535680618
"Tennessee",2337885,10,233788,-8080,-3.3406651562009033
"Texas",4663228,19,245433,3565,1.4739444655762648
"Utah",448388,2,224194,-17674,-7.307291580531531
"Vermont",352428,2,176214,-65654,-27.14455818876412
"Virginia",2309187,9,256576,14708,6.0810028610647135
"Washington",1354596,6,225766,-16102,-6.6573502902409585
"West Virginia",1463701,6,243950,2082,0.8608001058428565
"Wisconsin",2631305,11,239210,-2658,-1.0989465328195545
"Wyoming",193487,1,193487,-48381,-20.003059520068796
"TOTAL",105212578,435,241868,0,0.0
