"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3475885,7,496555,29970,6.423266928855406
"Arizona",1787620,4,446905,-19680,-4.217880986315462
"Arkansas",1942303,4,485576,18991,4.070212287150252
"California",20098863,43,467415,830,0.17788827330497123
"Colorado",2226771,5,445354,-21231,-4.550296301852824
"Connecticut",3050693,7,435813,-30772,-6.595154151976596
"Delaware",551928,1,551928,85343,18.290986636947178
"Florida",6855702,15,457047,-9538,-2.0442148804612237
"Georgia",4627306,10,462731,-3854,-0.8260016931534447
"Idaho",719921,2,359960,-106625,-22.852213423063322
"Illinois",11184320,24,466013,-572,-0.12259288232583558
"Indiana",5228156,11,475287,8702,1.8650406678311562
"Iowa",2846920,6,474487,7902,1.693582091151666
"Kansas",2265846,5,453169,-13416,-2.8753603309150533
"Kentucky",3246481,7,463783,-2802,-0.6005336648199149
"Louisiana",3672008,8,459001,-7584,-1.6254273069215686
"Maine",1006320,2,503160,36575,7.838871802565449
"Maryland",3953698,8,494212,27627,5.92110762240535
"Massachusetts",5726676,12,477223,10638,2.2799704233955227
"Michigan",8937196,19,470379,3794,0.8131422999024829
"Minnesota",3833173,8,479147,12562,2.692328300309697
"Mississippi",2233848,5,446770,-19815,-4.2468146211301265
"Missouri",4718034,10,471803,5218,1.1183385663919756
"Montana",701573,2,350786,-115799,-24.818414651135377
"Nebraska",1496820,3,498940,32355,6.934427810581137
"Nevada",492396,1,492396,25811,5.531896653342907
"New Hampshire",746284,2,373142,-93443,-20.02700472582702
"New Jersey",7208035,15,480536,13951,2.990023254069462
"New Mexico",1026664,2,513332,46747,10.01896760504517
"New York",18338055,39,470207,3622,0.7762787059163925
"North Carolina",5125230,11,465930,-655,-0.1403817096563327
"North Dakota",624181,1,624181,157596,33.7764823129762
"Ohio",10730200,23,466530,-55,-0.01178777714671496
"Oklahoma",2585486,6,430914,-35671,-7.645123610917624
"Oregon",2110810,5,422162,-44423,-9.520880439791249
"Pennsylvania",11884314,25,475373,8788,1.8834724648242012
"Rhode Island",957798,2,478899,12314,2.639176141539055
"South Carolina",2617320,6,436220,-30365,-6.507924601090906
"South Dakota",673247,2,336624,-129961,-27.853660104804057
"Tennessee",3961060,8,495132,28547,6.118284985586763
"Texas",11298787,24,470783,4198,0.8997288811256255
"Utah",1067810,2,533905,67320,14.428239227579112
"Vermont",448327,1,448327,-18258,-3.9131133662676683
"Virginia",4690742,10,469074,2489,0.5334504966940643
"Washington",3443487,7,491927,25342,5.431379062764555
"West Virginia",1763331,4,440833,-25752,-5.519251583312794
"Wisconsin",4447013,10,444701,-21884,-4.690249365067458
"Wyoming",335719,1,335719,-130866,-28.04762261967273
"TOTAL",202964357,435,466585,0,0.0
