"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,8,408342,-164,-0.04014628916099151
"Arizona",1302161,3,434054,25548,6.254008509054946
"Arkansas",1786272,4,446568,38062,9.317366207595482
"California",15717204,38,413611,5105,1.2496756473589128
"Colorado",1753947,4,438487,29981,7.3391822886322355
"Connecticut",2535234,6,422539,14033,3.435200462171914
"Delaware",446292,1,446292,37786,9.249802940470886
"Florida",4951560,12,412630,4124,1.0095322957312745
"Georgia",3943116,10,394312,-14194,-3.4746123679945953
"Idaho",667191,2,333596,-74910,-18.337551957621184
"Illinois",10081158,24,420048,11542,2.82541749692783
"Indiana",4662498,11,423863,15357,3.7593083088130896
"Iowa",2757537,7,393934,-14572,-3.5671446686217587
"Kansas",2178611,5,435722,27216,6.662325645155763
"Kentucky",3038156,7,434022,25516,6.246175086779631
"Louisiana",3257022,8,407128,-1378,-0.3373267467307702
"Maine",969265,2,484632,76126,18.63522200408317
"Maryland",3100689,8,387586,-20920,-5.121099812487454
"Massachusetts",5148578,13,396044,-12462,-3.050628387343148
"Michigan",7823194,19,411747,3241,0.7933787998217897
"Minnesota",3413864,8,426733,18227,4.461868369130441
"Mississippi",2178141,5,435628,27122,6.639314967222024
"Missouri",4319813,11,392710,-15796,-3.866773070652573
"Montana",674767,2,337384,-71122,-17.410270595780723
"Nebraska",1411330,3,470443,61937,15.161833608319094
"Nevada",285278,1,285278,-123228,-30.16553000445526
"New Hampshire",606921,2,303460,-105046,-25.714677385399483
"New Jersey",6066782,15,404452,-4054,-0.992396684504022
"New Mexico",951023,2,475512,67006,16.402696655618275
"New York",16782304,41,409324,818,0.20024185691275034
"North Carolina",4556155,11,414196,5690,1.3928803983295226
"North Dakota",632446,2,316223,-92283,-22.59036586977915
"Ohio",9706397,24,404433,-4073,-0.9970477789799904
"Oklahoma",2328284,6,388047,-20459,-5.008249572833692
"Oregon",1768687,4,442172,33666,8.241249822524027
"Pennsylvania",11319366,28,404263,-4243,-1.0386628348176037
"Rhode Island",859488,2,429744,21238,5.198944446348401
"South Carolina",2382594,6,397099,-11407,-2.7923702467038427
"South Dakota",680514,2,340257,-68249,-16.706976152125062
"Tennessee",3567089,9,396343,-12163,-2.9774348479581696
"Texas",9579677,23,416508,8002,1.9588451577210615
"Utah",890627,2,445314,36808,9.010393972181559
"Vermont",389881,1,389881,-18625,-4.559296558679677
"Virginia",3966949,10,396695,-11811,-2.8912672029296997
"Washington",2853214,7,407602,-904,-0.22129417927766057
"West Virginia",1860421,5,372084,-36422,-8.915903315985567
"Wisconsin",3951777,10,395178,-13328,-3.2626203776688714
"Wyoming",330066,1,330066,-78440,-19.201676352366917
"TOTAL",177700280,435,408506,0,0.0
