"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,8,408342,-9296,-2.225851095925179
"Alaska",226167,1,226167,-191471,-45.846163423826376
"Arizona",1302161,3,434054,16416,3.9306768062293185
"Arkansas",1786272,4,446568,28930,6.92705165717679
"California",15717204,38,413611,-4027,-0.9642321819374675
"Colorado",1753947,4,438487,20849,4.99212236434424
"Connecticut",2535234,6,422539,4901,1.1735043267135652
"Delaware",446292,1,446292,28654,6.860965716721179
"Florida",4951560,12,412630,-5008,-1.1991246007307765
"Georgia",3943116,9,438124,20486,4.905204986136319
"Hawaii",632772,2,316386,-101252,-24.24396247467903
"Idaho",667191,2,333596,-84042,-20.12316886873321
"Illinois",10081158,24,420048,2410,0.5770547699203616
"Indiana",4662498,11,423863,6225,1.4905252874498969
"Iowa",2757537,7,393934,-23704,-5.675728741158611
"Kansas",2178611,5,435722,18084,4.330065750721917
"Kentucky",3038156,7,434022,16384,3.9230146682054796
"Louisiana",3257022,8,407128,-10510,-2.516533457204565
"Maine",969265,2,484632,66994,16.041164836533074
"Maryland",3100689,7,442956,25318,6.062187827735982
"Massachusetts",5148578,12,429048,11410,2.732031089125032
"Michigan",7823194,19,411747,-5891,-1.410551721826079
"Minnesota",3413864,8,426733,9095,2.1777232914629416
"Mississippi",2178141,5,435628,17990,4.30755822027689
"Missouri",4319813,10,431981,14343,3.4343139273725094
"Montana",674767,2,337384,-80254,-19.21616328016129
"Nebraska",1411330,3,470443,52805,12.643724948400289
"Nevada",285278,1,285278,-132360,-31.69251840110335
"New Hampshire",606921,2,303460,-114178,-27.338987352683425
"New Jersey",6066782,14,433342,15704,3.760194235198904
"New Mexico",951023,2,475512,57874,13.857455499739007
"New York",16782304,40,419558,1920,0.4597282814303296
"North Carolina",4556155,11,414196,-3442,-0.8241587211891638
"North Dakota",632446,2,316223,-101415,-24.282991490237958
"Ohio",9706397,23,422017,4379,1.0485157001996945
"Oklahoma",2328284,6,388047,-29591,-7.08532269573171
"Oregon",1768687,4,442172,24534,5.874465446151931
"Pennsylvania",11319366,27,419236,1598,0.3826280175654514
"Rhode Island",859488,2,429744,12106,2.898682591143526
"South Carolina",2382594,6,397099,-20539,-4.917895402238302
"South Dakota",680514,2,340257,-77381,-18.528246950708507
"Tennessee",3567089,9,396343,-21295,-5.098913413051495
"Texas",9579677,23,416508,-1130,-0.27056924896680856
"Utah",890627,2,445314,27676,6.626791623367606
"Vermont",389881,1,389881,-27757,-6.646186410240447
"Virginia",3966949,9,440772,23134,5.539246907608982
"Washington",2853214,7,407602,-10036,-2.403038037726452
"West Virginia",1860421,4,465105,47467,11.365584549298676
"Wisconsin",3951777,9,439086,21448,5.135548010477973
"Wyoming",330066,1,330066,-87572,-20.96839846948793
"District of Columbia",763956,2,381978,-35660,-8.538495060315393
"Puerto Rico",2349544,6,391591,-26047,-6.2367409095915605
"TOTAL",181672719,435,417638,0,0.0
