"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4802982,7,686140,-26016,-3.653132178904622
"Alaska",721523,1,721523,9367,1.3153017035593324
"Arizona",6412700,9,712522,366,0.05139323406669325
"Arkansas",2926229,4,731557,19401,2.7242626615516823
"California",37341989,53,704566,-7590,-1.0657777228584748
"Colorado",5044930,7,720704,8548,1.200298810934683
"Connecticut",3581628,5,716326,4170,0.585545863546751
"Delaware",900877,1,900877,188721,26.499952257651415
"Florida",18900773,27,700029,-12127,-1.7028572391442325
"Georgia",9727566,14,694826,-17330,-2.433455591190694
"Hawaii",1366862,2,683431,-28725,-4.03352636220154
"Idaho",1573499,2,786750,74594,10.474390442543488
"Illinois",12864380,18,714688,2532,0.35554007829745166
"Indiana",6501582,9,722398,10242,1.4381680418335308
"Iowa",3053787,4,763447,51291,7.202214121625038
"Kansas",2863813,4,715953,3797,0.5331696987738641
"Kentucky",4350606,6,725101,12945,1.8177197130965688
"Louisiana",4553962,6,758994,46838,6.576929773813603
"Maine",1333074,2,666537,-45619,-6.405759412263605
"Maryland",5789929,8,723741,11585,1.6267503187503862
"Massachusetts",6559644,9,728849,16693,2.3440088969270776
"Michigan",9911626,14,707973,-4183,-0.5873713062868248
"Minnesota",5314879,7,759268,47112,6.615404490027466
"Mississippi",2978240,4,744560,32404,4.550126657642426
"Missouri",6011478,8,751435,39279,5.515505029796842
"Montana",994416,1,994416,282260,39.63457444717169
"Nebraska",1831825,3,610608,-101548,-14.25923533607805
"Nevada",2709432,4,677358,-34798,-4.886288959160633
"New Hampshire",1321445,2,660722,-51434,-7.222293991765849
"New Jersey",8807501,12,733958,21802,3.0614078937760825
"New Mexico",2067273,3,689091,-23065,-3.2387566769078684
"New York",19421055,27,719298,7142,1.0028701576620853
"North Carolina",9565781,13,735829,23673,3.3241312296743972
"North Dakota",675905,1,675905,-36251,-5.090317290031959
"Ohio",11568495,16,723031,10875,1.5270530614078939
"Oklahoma",3764882,5,752976,40820,5.731890203831744
"Oregon",3848606,5,769721,57565,8.083200871719118
"Pennsylvania",12734905,18,707495,-4661,-0.6544914316526154
"Rhode Island",1055247,2,527624,-184532,-25.911738439330705
"South Carolina",4645975,7,663711,-48445,-6.802582580221188
"South Dakota",819761,1,819761,107605,15.10975123428013
"Tennessee",6375431,9,708381,-3775,-0.53008048798297
"Texas",25268418,36,701900,-10256,-1.440133903245918
"Utah",2770765,4,692691,-19465,-2.733249456579738
"Vermont",630337,1,630337,-81819,-11.488915350007582
"Virginia",8037736,11,730703,18547,2.604345115396065
"Washington",6753369,10,675337,-36819,-5.170075095905953
"West Virginia",1859815,3,619938,-92218,-12.949129123394313
"Wisconsin",5698230,8,712279,123,0.017271496694544454
"Wyoming",568300,1,568300,-143856,-20.20006852431209
"District of Columbia",604598,1,604598,-107558,-15.103151556681402
"TOTAL",309788061,435,712156,0,0.0
