"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,8,408342,-2139,-0.5210959825180703
"Alaska",226167,1,226167,-184314,-44.901956485196635
"Arizona",1302161,3,434054,23573,5.7427749396439784
"Arkansas",1786272,4,446568,36087,8.79139351151454
"California",15717204,38,413611,3130,0.7625200679203179
"Colorado",1753947,4,438487,28006,6.822727483123457
"Connecticut",2535234,6,422539,12058,2.937529386256611
"Delaware",446292,1,446292,35811,8.724155320221886
"Florida",4951560,12,412630,2149,0.5235321488692534
"Georgia",3943116,10,394312,-16169,-3.9390373732279937
"Hawaii",632772,2,316386,-94095,-22.923107281457607
"Idaho",667191,2,333596,-76885,-18.73046499107145
"Illinois",10081158,24,420048,9567,2.330680348176895
"Indiana",4662498,11,423863,13382,3.2600778111532565
"Iowa",2757537,7,393934,-16547,-4.031124461302715
"Kansas",2178611,5,435722,25241,6.149127487021324
"Kentucky",3038156,7,434022,23541,5.734979207320193
"Louisiana",3257022,8,407128,-3353,-0.8168465775517015
"Maine",969265,2,484632,74151,18.064417110657985
"Maryland",3100689,8,387586,-22895,-5.577602861033762
"Massachusetts",5148578,12,429048,18567,4.523230064241707
"Michigan",7823194,19,411747,1266,0.3084186600597835
"Minnesota",3413864,8,426733,16252,3.9592575539428134
"Mississippi",2178141,5,435628,25147,6.126227523320202
"Missouri",4319813,10,431981,21500,5.237757655043717
"Montana",674767,2,337384,-73097,-17.807645177243284
"Nebraska",1411330,3,470443,59962,14.607740674964248
"Nevada",285278,1,285278,-125203,-30.50153356671807
"New Hampshire",606921,2,303460,-107021,-26.07209590699691
"New Jersey",6066782,15,404452,-6029,-1.4687646931283056
"New Mexico",951023,2,475512,65031,15.842633398378975
"New York",16782304,41,409324,-1157,-0.28186444683188744
"North Carolina",4556155,11,414196,3715,0.9050357994645306
"North Dakota",632446,2,316223,-94258,-22.96281679298189
"Ohio",9706397,24,404433,-6048,-1.4733934091955536
"Oklahoma",2328284,6,388047,-22434,-5.465295592244221
"Oregon",1768687,4,442172,31691,7.720454783534439
"Pennsylvania",11319366,27,419236,8755,2.132863640460825
"Rhode Island",859488,2,429744,19263,4.692787242284052
"South Carolina",2382594,6,397099,-13382,-3.2600778111532565
"South Dakota",680514,2,340257,-70224,-17.10773458454837
"Tennessee",3567089,9,396343,-14138,-3.444251987302701
"Texas",9579677,23,416508,6027,1.468277459858069
"Utah",890627,2,445314,34833,8.485898251076177
"Vermont",389881,1,389881,-20600,-5.0185026834372355
"Virginia",3966949,10,396695,-13786,-3.358498931741055
"Washington",2853214,7,407602,-2879,-0.7013722925056215
"West Virginia",1860421,5,372084,-38397,-9.354147938637842
"Wisconsin",3951777,10,395178,-15303,-3.728065367215535
"Wyoming",330066,1,330066,-80415,-19.590431713039095
"TOTAL",178559219,435,410481,0,0.0
