"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,7,555723,36488,7.027261259352702
"Alaska",400481,1,400481,-118754,-22.870954384816127
"Arizona",2717866,5,543573,24338,4.687280325864012
"Arkansas",2285513,4,571378,52143,10.042273729621462
"California",23668562,45,525968,6733,1.296715360097066
"Colorado",2888834,6,481472,-37763,-7.272814814101515
"Connecticut",3107576,6,517929,-1306,-0.25152387647211766
"Delaware",595225,1,595225,75990,14.634991863029265
"Florida",9739992,19,512631,-6604,-1.271871118087186
"Georgia",5464265,10,546426,27191,5.236742515431356
"Hawaii",965000,2,482500,-36735,-7.074831242115804
"Idaho",943935,2,471968,-47267,-9.103199899852669
"Illinois",11418461,22,519021,-214,-0.04121447899313413
"Indiana",5490179,10,549018,29783,5.735938447908943
"Iowa",2913387,6,485564,-33671,-6.484732346625324
"Kansas",2363208,5,472642,-46593,-8.973393550126628
"Kentucky",3661433,7,523062,3827,0.7370458462931043
"Louisiana",4203972,8,525496,6261,1.2058123970841719
"Maine",1124660,2,562330,43095,8.299710150509885
"Maryland",4216446,8,527056,7821,1.5062543934827197
"Massachusetts",5737037,11,521549,2314,0.4456556279911793
"Michigan",9258344,18,514352,-4883,-0.9404219669321213
"Minnesota",4077148,8,509644,-9591,-1.847140504781072
"Mississippi",2520638,5,504128,-15107,-2.909472589482604
"Missouri",4917444,9,546383,27148,5.228461101428063
"Montana",786690,2,393345,-125890,-24.245283927316148
"Nebraska",1570006,3,523335,4100,0.7896231956628502
"Nevada",799184,2,399592,-119643,-23.04216780455863
"New Hampshire",920610,2,460305,-58930,-11.349389004978477
"New Jersey",7364158,14,526011,6776,1.3049967741003592
"New Mexico",1299968,3,433323,-85912,-16.545879996533362
"New York",17557288,34,516391,-2844,-0.5477288703573526
"North Carolina",5874429,11,534039,14804,2.8511175094128864
"North Dakota",652695,1,652695,133460,25.703197973942434
"Ohio",10797419,21,514163,-5072,-0.9768216703419454
"Oklahoma",3025266,6,504211,-15024,-2.893487534546015
"Oregon",2632663,5,526533,7298,1.4055292882798731
"Pennsylvania",11866728,23,515945,-3290,-0.6336244667636042
"Rhode Island",947154,2,473577,-45658,-8.793320943310832
"South Carolina",3119208,6,519868,633,0.12191011776941077
"South Dakota",690178,1,690178,170943,32.92208730151088
"Tennessee",4590750,9,510083,-9152,-1.7625930455381473
"Texas",14228383,27,526977,7742,1.49103970263946
"Utah",1461037,3,487012,-32223,-6.205860544840005
"Vermont",511456,1,511456,-7779,-1.4981655705027588
"Virginia",5346279,10,534628,15393,2.9645536221556714
"Washington",4130163,8,516270,-2965,-0.5710323841805733
"West Virginia",1949644,4,487411,-31824,-6.129016726530376
"Wisconsin",4705335,9,522815,3580,0.6894758635300009
"Wyoming",470816,1,470816,-48419,-9.325064758731596
"TOTAL",225867174,435,519235,0,0.0
