"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646242,9,294027,12369,4.391496069701553
"Arizona",389375,1,389375,107717,38.24389862883355
"Arkansas",1854444,7,264921,-16737,-5.942313017915344
"California",5668241,20,283412,1754,0.6227410547543475
"Colorado",1034849,4,258712,-22946,-8.146759545264114
"Connecticut",1606897,6,267816,-13842,-4.914470741111561
"Delaware",238380,1,238380,-43278,-15.365443197068785
"Florida",1468191,5,293638,11980,4.253385311264015
"Georgia",2908446,10,290845,9187,3.2617571664926968
"Idaho",441536,2,220768,-60890,-21.618416661341058
"Illinois",7630388,27,282607,949,0.3369334441059725
"Indiana",3238480,12,269873,-11785,-4.184152411790185
"Iowa",2470420,9,274491,-7167,-2.5445753360458427
"Kansas",1879498,7,268500,-13158,-4.671623032187973
"Kentucky",2614575,9,290508,8850,3.1421085145815137
"Louisiana",2101593,7,300228,18570,6.593102272969347
"Maine",797418,3,265806,-15852,-5.628102166457192
"Maryland",1631522,6,271920,-9738,-3.4573844875700317
"Massachusetts",4249598,15,283307,1649,0.5854618011915159
"Michigan",4842052,17,284827,3169,1.1251233765772675
"Minnesota",2551583,9,283509,1851,0.6571799842362013
"Mississippi",2008154,7,286879,5221,1.853666503348032
"Missouri",3629110,13,279162,-2496,-0.8861811132650235
"Montana",524729,2,262364,-19294,-6.850151602297822
"Nebraska",1375123,5,275025,-6633,-2.3549837036405856
"Nevada",86390,1,86390,-195268,-69.32805033054271
"New Hampshire",465292,2,232646,-49012,-17.40124548210951
"New Jersey",4041319,14,288666,7008,2.4881238949364124
"New Mexico",395982,1,395982,114324,40.58965127921096
"New York",12587967,45,279733,-1925,-0.6834529819852445
"North Carolina",3167274,11,287934,6276,2.2282342415269585
"North Dakota",673340,2,336670,55012,19.531488542842737
"Ohio",6646633,24,276943,-4715,-1.6740160052261963
"Oklahoma",2382222,8,297778,16120,5.723253023169943
"Oregon",950379,3,316793,35135,12.474348323143671
"Pennsylvania",9631299,34,283274,1616,0.5737454643574832
"Rhode Island",687497,2,343748,62090,22.044465273487702
"South Carolina",1738760,6,289793,8135,2.888254549844137
"South Dakota",673005,2,336502,54844,19.47184173714221
"Tennessee",2616497,9,290722,9064,3.2180871837476657
"Texas",5824601,21,277362,-4296,-1.5252540314849925
"Utah",505741,2,252870,-28788,-10.220906205398036
"Vermont",359611,1,359611,77953,27.67647288555624
"Virginia",2421829,9,269092,-12566,-4.461439050195628
"Washington",1552423,6,258737,-22921,-8.13788353251106
"West Virginia",1729199,6,288200,6542,2.322675017219465
"Wisconsin",2931721,10,293172,11514,4.087936433547068
"Wyoming",223630,1,223630,-58028,-20.602290721371308
"Alaska",59278,1,59278,-222380,-78.95390864097594
"Hawaii",368336,1,368336,86678,30.77420133637248
"TOTAL",122521069,435,281658,0,0.0
