"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4062608,7,580373,7907,1.3812173998106438
"Alaska",551947,1,551947,-20519,-3.5843176712678138
"Arizona",3677985,6,612998,40532,7.080245813725182
"Arkansas",2362239,4,590560,18094,3.160711727858074
"California",29839250,52,573832,1366,0.23861679121554816
"Colorado",3307912,6,551319,-21147,-3.6940185093961917
"Connecticut",3295669,6,549278,-23188,-4.050546233313419
"Delaware",668696,1,668696,96230,16.809731931678037
"Florida",13003362,23,565364,-7102,-1.2405976948849364
"Georgia",6508419,11,591674,19208,3.3553084375316615
"Hawaii",1115274,2,557637,-14829,-2.5903721793084653
"Idaho",1011986,2,505993,-66473,-11.611693969598194
"Illinois",11466682,20,573334,868,0.15162472531119753
"Indiana",5564228,10,556423,-16043,-2.802437175308228
"Iowa",2787424,5,557485,-14981,-2.6169239745242514
"Kansas",2485600,4,621400,48934,8.54793123085039
"Kentucky",3698969,6,616495,44029,7.691111786551516
"Louisiana",4238216,7,605459,32993,5.763311707594862
"Maine",1233223,2,616612,44146,7.71154968155314
"Maryland",4798622,8,599828,27362,4.779672504567957
"Massachusetts",6029051,10,602905,30439,5.3171716748243565
"Michigan",9328784,16,583049,10583,1.8486687418990824
"Minnesota",4387029,8,548379,-24087,-4.207586127385731
"Mississippi",2586443,5,517289,-55177,-9.638476346193487
"Missouri",5137804,9,570867,-1599,-0.2793178983555355
"Montana",803655,1,803655,231189,40.384756474620325
"Nebraska",1584617,3,528206,-44260,-7.73146352796498
"Nevada",1206152,2,603076,30610,5.347042444442115
"New Hampshire",1113915,2,556958,-15508,-2.7089818434631927
"New Jersey",7748634,13,596049,23583,4.11954596430181
"New Mexico",1521779,3,507260,-65206,-11.390370781845558
"New York",18044505,31,582081,9615,1.67957573026171
"North Carolina",6657630,12,554802,-17664,-3.085598096655522
"North Dakota",641364,1,641364,68898,12.035299913007934
"Ohio",10887325,19,573017,551,0.09625025765722331
"Oklahoma",3157604,6,526267,-46199,-8.07017359982951
"Oregon",2853733,5,570747,-1719,-0.30027984194694535
"Pennsylvania",11924710,21,567843,-4623,-0.8075588768590624
"Rhode Island",1005984,2,502992,-69474,-12.1359172422467
"South Carolina",3505707,6,584284,11818,2.0644020780273413
"South Dakota",699999,1,699999,127533,22.277829600360548
"Tennessee",4896641,9,544071,-28395,-4.960119902317342
"Texas",17059805,30,568660,-3806,-0.664842977574214
"Utah",1727784,3,575928,3462,0.6047520726121726
"Vermont",564964,1,564964,-7502,-1.3104708401896359
"Virginia",6216568,11,565143,-7323,-1.2792026076657828
"Washington",4887941,9,543105,-29361,-5.128863548228192
"West Virginia",1801625,3,600542,28076,4.904396068936845
"Wisconsin",4906745,9,545194,-27272,-4.7639510468744
"Wyoming",455975,1,455975,-116491,-20.34898142422432
"TOTAL",249022783,435,572466,0,0.0
