"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2138093,10,213809,2716,1.2866366956744184
"Arkansas",1574449,7,224921,13828,6.550667241452819
"California",2376561,11,216051,4958,2.348727811912285
"Colorado",798572,4,199643,-11450,-5.424149545461005
"Connecticut",1114756,5,222951,11858,5.6174292847228475
"Delaware",202322,1,202322,-8771,-4.15504066927847
"Florida",752619,4,188155,-22938,-10.866300635265025
"Georgia",2609121,12,217427,6334,3.00057320706987
"Idaho",323440,2,161720,-49373,-23.389217074938536
"Illinois",5638591,26,216869,5776,2.736234740138233
"Indiana",2700876,13,207760,-3333,-1.578924928822841
"Iowa",2224771,10,222477,11384,5.3928837052862955
"Kansas",1690949,8,211369,276,0.13074805891242247
"Kentucky",2289905,11,208173,-2920,-1.3832765653053394
"Louisiana",1656388,8,207048,-4045,-1.9162170228288007
"Maine",742371,4,185593,-25500,-12.079983703865121
"Maryland",1295346,6,215891,4798,2.2729318357311707
"Massachusetts",3366416,16,210401,-692,-0.32781759698332014
"Michigan",2810173,13,216167,5074,2.4036798946435933
"Minnesota",2074376,10,207438,-3655,-1.731464330887334
"Mississippi",1797114,8,224639,13546,6.417076833433605
"Missouri",3293335,15,219556,8463,4.009133415129824
"Montana",366338,2,183169,-27924,-13.228292743009003
"Nebraska",1192214,6,198702,-12391,-5.869924630376184
"Nevada",80293,1,80293,-130800,-61.9632105280611
"New Hampshire",430572,2,215286,4193,1.9863283007963317
"New Jersey",2537167,12,211431,338,0.16011899968260435
"New York",9108934,43,211836,743,0.35197756439105043
"North Carolina",2206287,10,220629,9536,4.5174401803944235
"North Dakota",574403,3,191468,-19625,-9.296850203464825
"Ohio",4767121,22,216687,5594,2.650016817232215
"Oklahoma",1657155,8,207144,-3949,-1.8707394371201318
"Oregon",672765,3,224255,13162,6.235166490598931
"Pennsylvania",7665111,36,212920,1827,0.8654953030181011
"Rhode Island",542610,3,180870,-30223,-14.317386175761392
"South Carolina",1515400,7,216486,5393,2.55479812215469
"South Dakota",575676,3,191892,-19201,-9.09599086658487
"Tennessee",2184789,10,218479,7386,3.4989317504606974
"Texas",3896542,18,216475,5382,2.549587148792239
"Utah",371864,2,185932,-25161,-11.919390979331384
"Vermont",355956,2,177978,-33115,-15.687398445235038
"Virginia",2061612,10,206161,-4932,-2.336410965782854
"Washington",1140134,5,228027,16934,8.022056629068704
"West Virginia",1221119,6,203520,-7573,-3.5875182976223754
"Wisconsin",2332853,11,212078,985,0.46661897836498606
"Wyoming",144658,1,144658,-66435,-31.471910484952133
"Arizona",180225,1,180225,-30868,-14.622938704741511
"New Mexico",316983,2,158492,-52601,-24.91840089439252
"Alaska",64356,1,64356,-146737,-69.51296348055122
"Hawaii",191909,1,191909,-19184,-9.087937544115626
"TOTAL",91825590,435,211093,0,0.0
