"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4062608,7,580373,-190,-0.0327268530719319
"Alaska",551947,1,551947,-28616,-4.9290085658231755
"Arizona",3677985,6,612998,32435,5.586818312569006
"Arkansas",2362239,4,590560,9997,1.7219492113689645
"California",29839250,52,573832,-6731,-1.1593918317219665
"Colorado",3307912,6,551319,-29244,-5.037179427555666
"Connecticut",3295669,6,549278,-31285,-5.38873472818626
"Delaware",668696,1,668696,88133,15.180609167308285
"Florida",13003362,22,591062,10499,1.8084170021169108
"Georgia",6508419,11,591674,11111,1.9138319183275545
"Hawaii",1115274,2,557637,-22926,-3.948925439616372
"Idaho",1011986,2,505993,-74570,-12.844428597757693
"Illinois",11466682,20,573334,-7229,-1.245170636089451
"Indiana",5564228,10,556423,-24140,-4.1580328060865055
"Iowa",2787424,5,557485,-23078,-3.975106922073918
"Kansas",2485600,4,621400,40837,7.034034204728858
"Kentucky",3698969,6,616495,35932,6.1891646556876685
"Louisiana",4238216,7,605459,24896,4.288251231993772
"Maine",1233223,2,616612,36049,6.209317507316174
"Maryland",4798622,8,599828,19265,3.3183306548987797
"Massachusetts",6029051,10,602905,22342,3.8483334280689605
"Michigan",9328784,16,583049,2486,0.4282050354569616
"Minnesota",4387029,8,548379,-32184,-5.543584417195033
"Mississippi",2586443,4,646611,66048,11.37654311418399
"Missouri",5137804,9,570867,-9696,-1.6701029862392196
"Montana",803655,1,803655,223092,38.426837397491745
"Nebraska",1584617,3,528206,-52357,-9.018314980458623
"Nevada",1206152,2,603076,22513,3.8777875958337
"New Hampshire",1113915,2,556958,-23605,-4.06588087769975
"New Jersey",7748634,13,596049,15486,2.6674107719575657
"New Mexico",1521779,3,507260,-73303,-12.626192161746443
"New York",18044505,31,582081,1518,0.26147033138522435
"North Carolina",6657630,12,554802,-25761,-4.4372445367686195
"North Dakota",641364,1,641364,60801,10.472765229613323
"Ohio",10887325,19,573017,-7546,-1.2997728067410428
"Oklahoma",3157604,5,631521,50958,8.777341993892136
"Oregon",2853733,5,570747,-9816,-1.6907725776530713
"Pennsylvania",11924710,21,567843,-12720,-2.190976689868283
"Rhode Island",1005984,2,502992,-77571,-13.361340629699104
"South Carolina",3505707,6,584284,3721,0.640929580424519
"South Dakota",699999,1,699999,119436,20.572444334206626
"Tennessee",4896641,8,612080,31517,5.428695938253041
"Texas",17059805,30,568660,-11903,-2.050251221658976
"Utah",1727784,3,575928,-4635,-0.798362968360023
"Vermont",564964,1,564964,-15599,-2.686874637205609
"Virginia",6216568,11,565143,-15420,-2.6560424966799467
"Washington",4887941,8,610993,30430,5.241463889362567
"West Virginia",1801625,3,600542,19979,3.4413147238111974
"Wisconsin",4906745,8,613343,32780,5.64624338788383
"Wyoming",455975,1,455975,-124588,-21.459858792241324
"Puerto Rico",3522037,6,587006,6443,1.1097848123287224
"TOTAL",252544820,435,580563,0,0.0
