"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4062608,10,406261,6333,1.583535036306535
"Alaska",551947,1,551947,152019,38.01159208657558
"Arizona",3677985,9,408665,8737,2.184643235782441
"Arkansas",2362239,6,393706,-6222,-1.5557800404072735
"California",29839250,74,403233,3305,0.8263987517753195
"Colorado",3307912,8,413489,13561,3.3908603548638756
"Connecticut",3295669,8,411959,12031,3.0082914924686444
"Delaware",668696,2,334348,-65580,-16.397951631293633
"Florida",13003362,32,406355,6427,1.6070392670680722
"Georgia",6508419,16,406776,6848,1.712308215478786
"Hawaii",1115274,3,371758,-28170,-7.0437678782180795
"Idaho",1011986,3,337329,-62599,-15.652567462143185
"Illinois",11466682,29,395403,-4525,-1.1314536616590987
"Indiana",5564228,14,397445,-2483,-0.6208617551159209
"Iowa",2787424,7,398203,-1725,-0.4313276389750155
"Kansas",2485600,6,414267,14339,3.58539537116681
"Kentucky",3698969,9,410997,11069,2.7677481946750415
"Louisiana",4238216,11,385292,-14636,-3.6596587385729435
"Maine",1233223,3,411074,11146,2.787001660298854
"Maryland",4798622,12,399885,-43,-0.010751935348362706
"Massachusetts",6029051,15,401937,2009,0.5023404212758297
"Michigan",9328784,23,405599,5671,1.4180052409433697
"Minnesota",4387029,11,398821,-1107,-0.2767998239683143
"Mississippi",2586443,6,431074,31146,7.78790182232802
"Missouri",5137804,13,395216,-4712,-1.1782120781740715
"Montana",803655,2,401828,1900,0.4750855153927707
"Nebraska",1584617,4,396154,-3774,-0.9436698605749034
"Nevada",1206152,3,402051,2123,0.5308455521993959
"New Hampshire",1113915,3,371305,-28623,-7.15703826688804
"New Jersey",7748634,19,407823,7895,1.974105338961013
"New Mexico",1521779,4,380445,-19483,-4.871626892840712
"New York",18044505,45,400989,1061,0.2652977535956472
"North Carolina",6657630,17,391625,-8303,-2.076123702266408
"North Dakota",641364,2,320682,-79246,-19.81506671200816
"Ohio",10887325,27,403234,3306,0.826648796783421
"Oklahoma",3157604,8,394700,-5228,-1.3072353023544239
"Oregon",2853733,7,407676,7748,1.9373487227700985
"Pennsylvania",11924710,30,397490,-2438,-0.6096097297513553
"Rhode Island",1005984,3,335328,-64600,-16.152907523354205
"South Carolina",3505707,9,389523,-10405,-2.601718309295673
"South Dakota",699999,2,350000,-49928,-12.484247164489608
"Tennessee",4896641,12,408053,8125,2.0316156908243483
"Texas",17059805,43,396740,-3188,-0.7971434858274489
"Utah",1727784,4,431946,32018,8.00594106939249
"Vermont",564964,1,564964,165036,41.26642795703226
"Virginia",6216568,16,388536,-11392,-2.8485127322918125
"Washington",4887941,12,407328,7400,1.850333059950791
"West Virginia",1801625,5,360325,-39603,-9.902532455842051
"Wisconsin",4906745,12,408895,8967,2.2421535876457765
"Wyoming",455975,1,455975,56047,14.014272569062431
"District of Columbia",609909,2,304954,-94974,-23.7477745994279
"Puerto Rico",3522037,9,391337,-8591,-2.148136664599628
"TOTAL",253154729,633,399928,0,0.0
