"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,10,326674,6264,1.9549951624481132
"Alaska",226167,1,226167,-94243,-29.41325177116819
"Arizona",1302161,4,325540,5130,1.6010736244187136
"Arkansas",1786272,6,297712,-22698,-7.08404856277894
"California",15717204,49,320759,349,0.10892294247994758
"Colorado",1753947,6,292324,-28086,-8.765644018601167
"Connecticut",2535234,8,316904,-3506,-1.0942230267469804
"Delaware",446292,1,446292,125882,39.28778752223713
"Florida",4951560,15,330104,9694,3.025498579944446
"Georgia",3943116,12,328593,8183,2.5539152960269655
"Hawaii",632772,2,316386,-4024,-1.255890889797447
"Idaho",667191,2,333596,13186,4.115352204987359
"Illinois",10081158,32,315036,-5374,-1.6772260541181612
"Indiana",4662498,15,310833,-9577,-2.9889828657033175
"Iowa",2757537,9,306393,-14017,-4.374707406135888
"Kansas",2178611,7,311230,-9180,-2.8650791173808554
"Kentucky",3038156,10,303816,-16594,-5.178989419805874
"Louisiana",3257022,10,325702,5292,1.6516338441371994
"Maine",969265,3,323088,2678,0.8358041259636091
"Maryland",3100689,10,310069,-10341,-3.2274273586966697
"Massachusetts",5148578,16,321786,1376,0.4294497674854093
"Michigan",7823194,24,325966,5556,1.734028276271028
"Minnesota",3413864,11,310351,-10059,-3.1394151243718986
"Mississippi",2178141,7,311163,-9247,-2.885989825536032
"Missouri",4319813,14,308558,-11852,-3.6990106426141507
"Montana",674767,2,337384,16974,5.297587466059111
"Nebraska",1411330,4,352832,32422,10.118910146374956
"Nevada",285278,1,285278,-35132,-10.964701476233575
"New Hampshire",606921,2,303460,-16950,-5.290097063137854
"New Jersey",6066782,19,319304,-1106,-0.34518273462126653
"New Mexico",951023,3,317008,-3402,-1.0617646140881996
"New York",16782304,52,322737,2327,0.7262569832402235
"North Carolina",4556155,14,325440,5030,1.5698636122468086
"North Dakota",632446,2,316223,-4187,-1.3067632096376518
"Ohio",9706397,30,323547,3137,0.979058081832652
"Oklahoma",2328284,7,332612,12202,3.8082456852158173
"Oregon",1768687,6,294781,-25629,-7.998814019537467
"Pennsylvania",11319366,35,323410,3000,0.9363003651571423
"Rhode Island",859488,3,286496,-33914,-10.584563527979777
"South Carolina",2382594,7,340371,19961,6.229830529633906
"South Dakota",680514,2,340257,19847,6.194251115757935
"Tennessee",3567089,11,324281,3871,1.208139571174433
"Texas",9579677,30,319323,-1087,-0.3392528323086046
"Utah",890627,3,296876,-23534,-7.344964264536063
"Vermont",389881,1,389881,69471,21.681907555943948
"Virginia",3966949,12,330579,10169,3.1737461377609937
"Washington",2853214,9,317024,-3386,-1.0567710121406948
"West Virginia",1860421,6,310070,-10340,-3.2271152585749507
"Wisconsin",3951777,12,329315,8905,2.7792515839081178
"Wyoming",330066,1,330066,9656,3.0136387753191225
"District of Columbia",763956,2,381978,61568,19.215380293998315
"Puerto Rico",2349544,7,335649,15239,4.756093754876564
"TOTAL",181672719,567,320410,0,0.0
