"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,10,234817,9951,4.425302179964957
"Arizona",309754,1,309754,84888,37.750482509583485
"Arkansas",1752204,8,219026,-5840,-2.597102274243327
"California",3426031,15,228402,3536,1.5724920619391105
"Colorado",939161,4,234790,9924,4.413295029039517
"Connecticut",1380631,6,230105,5239,2.3298319888289027
"Delaware",223003,1,223003,-1863,-0.8284934138553628
"Florida",968470,4,242118,17252,7.672124732062651
"Georgia",2895832,13,222756,-2110,-0.9383366093584623
"Idaho",430442,2,215221,-9645,-4.289221136143303
"Illinois",6485280,29,223630,-1236,-0.5496606868090329
"Indiana",2930390,13,225415,549,0.24414540215061414
"Iowa",2404021,11,218547,-6319,-2.810118025846504
"Kansas",1769257,8,221157,-3709,-1.6494267697206337
"Kentucky",2416630,11,219694,-5172,-2.30003646616207
"Louisiana",1798509,8,224814,-52,-0.023124883263810448
"Maine",768014,3,256005,31139,13.847802691380645
"Maryland",1449661,6,241610,16744,7.4462124109469645
"Massachusetts",3852356,17,226609,1743,0.7751282986311848
"Michigan",3668412,16,229276,4410,1.9611679844885397
"Minnesota",2385656,11,216878,-7988,-3.552337836756113
"Mississippi",1790618,8,223827,-1039,-0.46205295598267415
"Missouri",3404055,15,226937,2071,0.9209929469106046
"Montana",541511,2,270756,45890,20.407709480312718
"Nebraska",1296372,6,216062,-8804,-3.9152206202805226
"Nevada",75820,1,75820,-149046,-66.28214136419022
"New Hampshire",443083,2,221542,-3324,-1.4782136917097293
"New Jersey",3155900,14,225421,555,0.24681365791182305
"New Mexico",353428,2,176714,-48152,-21.413641902288475
"New York",10380987,46,225674,808,0.35932510917613153
"North Carolina",2559123,11,232648,7782,3.46072772228794
"North Dakota",645145,3,215048,-9818,-4.366155843924827
"Ohio",5759394,25,230376,5510,2.450348207376838
"Oklahoma",2028283,9,225365,499,0.2219099374738733
"Oregon",783389,4,195847,-29019,-12.905018989086834
"Pennsylvania",8720017,39,223590,-1276,-0.5674490585504256
"Rhode Island",604397,3,201466,-23400,-10.406197468714701
"South Carolina",1683724,7,240532,15666,6.966815792516432
"South Dakota",631239,3,210413,-14453,-6.4273834194587005
"Tennessee",2337885,10,233788,8922,3.967696316917631
"Texas",4663228,21,222058,-2808,-1.248743696245764
"Utah",448388,2,224194,-672,-0.29884464525539656
"Vermont",352428,2,176214,-48652,-21.635996549055882
"Virginia",2309187,10,230919,6053,2.691825353766243
"Washington",1354596,6,225766,900,0.4002383641813346
"West Virginia",1463701,6,243950,19084,8.486832157818434
"Wisconsin",2631305,12,219275,-5591,-2.4863696601531577
"Wyoming",193487,1,193487,-31379,-13.954532921829
"Alaska",55036,1,55036,-169830,-75.52497932101785
"Hawaii",255912,1,255912,31046,13.806444727081907
"District of Columbia",437571,2,218786,-6080,-2.703832504691683
"Puerto Rico",1299809,6,216635,-8231,-3.6604021950850734
"TOTAL",107260906,477,224866,0,0.0
