"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,10,389006,14289,3.813277753611392
"Alaska",400481,1,400481,25764,6.87558877766421
"Arizona",2717866,7,388267,13550,3.6160622549817596
"Arkansas",2285513,6,380919,6202,1.6551157273355628
"California",23668562,63,375691,974,0.2599294934577294
"Colorado",2888834,8,361104,-13613,-3.6328749429569513
"Connecticut",3107576,8,388447,13730,3.6640985063394504
"Delaware",595225,2,297612,-77105,-20.576862005193252
"Florida",9739992,26,374615,-102,-0.027220542436025053
"Georgia",5464265,15,364284,-10433,-2.7842345023044057
"Hawaii",965000,3,321667,-53050,-14.157350747364012
"Idaho",943935,3,314645,-60072,-16.03129828644017
"Illinois",11418461,30,380615,5898,1.573987836153684
"Indiana",5490179,15,366012,-8705,-2.3230864892705694
"Iowa",2913387,8,364173,-10544,-2.8138568573083154
"Kansas",2363208,6,393868,19151,5.110790276395253
"Kentucky",3661433,10,366143,-8574,-2.288126773004694
"Louisiana",4203972,11,382179,7462,1.9913694868394016
"Maine",1124660,3,374887,170,0.04536757072670842
"Maryland",4216446,11,383313,8596,2.2939978703928565
"Massachusetts",5737037,15,382469,7752,2.068761225137904
"Michigan",9258344,25,370334,-4383,-1.1696827205597826
"Minnesota",4077148,11,370650,-4067,-1.0853524126207243
"Mississippi",2520638,7,360091,-14626,-3.9032122908755142
"Missouri",4917444,13,378265,3548,0.9468478878727146
"Montana",786690,2,393345,18628,4.97121827939485
"Nebraska",1570006,4,392502,17785,4.746248502202996
"Nevada",799184,2,399592,24875,6.638343069569835
"New Hampshire",920610,2,460305,85588,22.840703784456004
"New Jersey",7364158,20,368208,-6509,-1.7370442227067362
"New Mexico",1299968,3,433323,58606,15.640069705938082
"New York",17557288,47,373559,-1158,-0.30903321706781384
"North Carolina",5874429,16,367152,-7565,-2.018856897338525
"North Dakota",652695,2,326348,-48369,-12.90814134400094
"Ohio",10797419,29,372325,-2392,-0.6383484069310974
"Oklahoma",3025266,8,378158,3441,0.9182930051211982
"Oregon",2632663,7,376095,1378,0.36774419094943656
"Pennsylvania",11866728,32,370835,-3882,-1.0359818209475418
"Rhode Island",947154,3,315718,-58999,-15.744948854735707
"South Carolina",3119208,8,389901,15184,4.052124670084357
"South Dakota",690178,2,345089,-29628,-7.906766973475983
"Tennessee",4590750,12,382562,7845,2.0935799550060445
"Texas",14228383,38,374431,-286,-0.07632426604610947
"Utah",1461037,4,365259,-9458,-2.524038140783578
"Vermont",511456,1,511456,136739,36.49127207999637
"Virginia",5346279,14,381877,7160,1.9107753317837195
"Washington",4130163,11,375469,752,0.20068478344991023
"West Virginia",1949644,5,389929,15212,4.059596975851109
"Wisconsin",4705335,13,361949,-12768,-3.407371429638901
"Wyoming",470816,1,470816,96099,25.645753995682075
"District of Columbia",637651,2,318826,-55891,-14.915522914626239
"Puerto Rico",3196520,8,399565,24848,6.631137631866181
"TOTAL",229701345,613,374717,0,0.0
