"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2138093,27,79189,-1104,-1.3749641936407906
"Arkansas",1574449,20,78722,-1571,-1.9565840110594948
"California",2376561,30,79219,-1074,-1.3376010362048996
"Colorado",798572,10,79857,-436,-0.5430112214016166
"Connecticut",1114756,14,79625,-668,-0.8319529722391741
"Delaware",202322,3,67441,-12852,-16.006376645535724
"Florida",752619,9,83624,3331,4.148555913965103
"Georgia",2609121,32,81535,1242,1.5468347178458894
"Idaho",323440,4,80860,567,0.7061636755383408
"Illinois",5638591,70,80551,258,0.321323153948663
"Indiana",2700876,34,79438,-855,-1.064849986922895
"Iowa",2224771,28,79456,-837,-1.0424320924613604
"Kansas",1690949,21,80521,228,0.283959996512772
"Kentucky",2289905,29,78962,-1331,-1.657678751572366
"Louisiana",1656388,21,78876,-1417,-1.7647864695552538
"Maine",742371,9,82486,2193,2.7312468085636357
"Maryland",1295346,16,80959,666,0.8294620950767813
"Massachusetts",3366416,42,80153,-140,-0.17436140136749156
"Michigan",2810173,35,80291,-2,-0.0024908771623927367
"Minnesota",2074376,26,79784,-509,-0.6339282378289515
"Mississippi",1797114,22,81687,1394,1.7361413821877374
"Missouri",3293335,41,80325,32,0.03985403459828379
"Montana",366338,5,73268,-7025,-8.749206032904487
"Nebraska",1192214,15,79481,-812,-1.0112961279314512
"Nevada",80293,1,80293,0,0.0
"New Hampshire",430572,5,86114,5821,7.24969798114406
"New Jersey",2537167,32,79286,-1007,-1.2541566512647428
"New York",9108934,113,80610,317,0.39480403023924876
"North Carolina",2206287,27,81714,1421,1.7697682238800392
"North Dakota",574403,7,82058,1765,2.19819909581159
"Ohio",4767121,59,80799,506,0.6301919220853625
"Oklahoma",1657155,21,78912,-1381,-1.7199506806321847
"Oregon",672765,8,84096,3803,4.736402924289789
"Pennsylvania",7665111,95,80685,392,0.4882119238289764
"Rhode Island",542610,7,77516,-2777,-3.4585829399823145
"South Carolina",1515400,19,79758,-535,-0.6663096409400571
"South Dakota",575676,7,82239,1946,2.4236234790081324
"Tennessee",2184789,27,80918,625,0.7783991132477303
"Texas",3896542,49,79521,-772,-0.9614785846835963
"Utah",371864,5,74373,-5920,-7.372996400682501
"Vermont",355956,4,88989,8696,10.83033390208362
"Virginia",2061612,26,79293,-1000,-1.2454385811963682
"Washington",1140134,14,81438,1145,1.4260271754698417
"West Virginia",1221119,15,81408,1115,1.3886640180339507
"Wisconsin",2332853,29,80443,150,0.18681578717945524
"Wyoming",144658,2,72329,-7964,-9.918672860647877
"Arizona",180225,2,90112,9819,12.22896142876714
"New Mexico",316983,4,79246,-1047,-1.3039741945125976
"TOTAL",91569325,1141,80254,-39,-0.048572104666658365
