"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,7,637304,-10968,-1.6918824197250537
"Alaska",628933,1,628933,-19339,-2.9831613890465727
"Arizona",5140683,8,642585,-5687,-0.8772552262013477
"Arkansas",2679733,4,669933,21661,3.341344373966483
"California",33930798,53,640204,-8068,-1.2445393291704716
"Colorado",4311882,7,615983,-32289,-4.980779672729965
"Connecticut",3409535,5,681907,33635,5.18840856924254
"Delaware",785068,1,785068,136796,21.101636350174
"District of Columbia",574096,1,574096,-74176,-11.442110718957474
"Florida",16028890,25,641156,-7116,-1.0976873904780708
"Georgia",8206975,13,631306,-16966,-2.617111335982427
"Hawaii",1216642,2,608321,-39951,-6.162690969222796
"Idaho",1297274,2,648637,365,0.05630352691462843
"Illinois",12439042,19,654686,6414,0.9893995113162376
"Indiana",6090782,9,676754,28482,4.393526174198485
"Iowa",2931923,5,586385,-61887,-9.546455808672903
"Kansas",2693824,4,673456,25184,3.8847891008712394
"Kentucky",4049431,6,674905,26633,4.108306389910408
"Louisiana",4480271,7,640039,-8233,-1.2699916084606462
"Maine",1277731,2,638866,-9406,-1.4509341757780685
"Maryland",5307886,8,663486,15214,2.3468544067922106
"Massachusetts",6355568,10,635557,-12715,-1.9613680677246585
"Michigan",9955829,15,663722,15450,2.383258878989066
"Minnesota",4925670,8,615709,-32563,-5.0230458819754675
"Mississippi",2852927,4,713232,64960,10.020485228422638
"Missouri",5606260,9,622918,-25354,-3.911012661352025
"Montana",905316,1,905316,257044,39.65064047190069
"Nebraska",1715369,3,571790,-76482,-11.797825604067429
"Nevada",2002032,3,667344,19072,2.9419749734679272
"New Hampshire",1238415,2,619208,-29064,-4.483303304785646
"New Jersey",8424354,13,648027,-245,-0.03779277833995607
"New Mexico",1823821,3,607940,-40332,-6.22146259594738
"New York",19004973,29,655344,7072,1.090900116000691
"North Carolina",8067673,12,672306,24034,3.707394427030629
"North Dakota",643756,1,643756,-4516,-0.6966211713601698
"Ohio",11374540,18,631919,-16353,-2.522552262013476
"Oklahoma",3458819,5,691764,43492,6.708912308413752
"Oregon",3428543,5,685709,37437,5.774890786583409
"Pennsylvania",12300670,19,647404,-868,-0.13389441469013008
"Rhode Island",1049662,2,524831,-123441,-19.04154429005109
"South Carolina",4025061,6,670844,22572,3.4818718068958705
"South Dakota",756874,1,756874,108602,16.752535972554732
"Tennessee",5700037,9,633337,-14935,-2.3038169163560975
"Texas",20903994,32,653250,4978,0.7678875533726583
"Utah",2236714,3,745571,97299,15.008977713058716
"Vermont",609890,1,609890,-38382,-5.920662931608954
"Virginia",7100702,11,645518,-2754,-0.42482167978873064
"Washington",5908684,9,656520,8248,1.2723054520324801
"West Virginia",1813077,3,604359,-43913,-6.773854184663228
"Wisconsin",5371210,8,671401,23129,3.567792531529975
"Wyoming",495304,1,495304,-152968,-23.596268233087343
"TOTAL",281998273,435,648272,0,0.0
