"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,7,555723,29140,5.533790494565909
"Alaska",400481,1,400481,-126102,-23.94722199539294
"Arizona",2717866,5,543573,16990,3.226461925280535
"Arkansas",2285513,4,571378,44795,8.506731132603978
"California",23668562,45,525968,-615,-0.1167907053588893
"Colorado",2888834,5,577767,51184,9.72002514323478
"Connecticut",3107576,6,517929,-8654,-1.6434256328062242
"Delaware",595225,1,595225,68642,13.03536194673964
"Florida",9739992,18,541111,14528,2.758919296673079
"Georgia",5464265,10,546426,19843,3.768256855994212
"Hawaii",965000,2,482500,-44083,-8.371519779407995
"Idaho",943935,2,471968,-54615,-10.371584346627218
"Illinois",11418461,22,519021,-7562,-1.4360509169494649
"Indiana",5490179,10,549018,22435,4.260486950775092
"Iowa",2913387,6,485564,-41019,-7.789655192058992
"Kansas",2363208,4,590802,64219,12.195418386085384
"Kentucky",3661433,7,523062,-3521,-0.6686505261278849
"Louisiana",4203972,8,525496,-1087,-0.20642519792701247
"Maine",1124660,2,562330,35747,6.788483486933685
"Maryland",4216446,8,527056,473,0.08982439615407257
"Massachusetts",5737037,11,521549,-5034,-0.9559746516693476
"Michigan",9258344,18,514352,-12231,-2.3227107597472765
"Minnesota",4077148,8,509644,-16939,-3.216776842397115
"Mississippi",2520638,5,504128,-22455,-4.26428502249408
"Missouri",4917444,9,546383,19800,3.7600910017983873
"Montana",786690,2,393345,-133238,-25.302373984727954
"Nebraska",1570006,3,523335,-3248,-0.6168068471636949
"Nevada",799184,2,399592,-126991,-24.116046283301966
"New Hampshire",920610,2,460305,-66278,-12.586429869555227
"New Jersey",7364158,14,526011,-572,-0.10862485116306451
"New Mexico",1299968,3,433323,-93260,-17.710408425642303
"New York",17557288,33,532039,5456,1.03611396494
"North Carolina",5874429,11,534039,7456,1.415921136838827
"North Dakota",652695,1,652695,126112,23.94912103125243
"Ohio",10797419,20,539871,13288,2.5234388500958063
"Oklahoma",3025266,6,504211,-22372,-4.248523024860278
"Oregon",2632663,5,526533,-50,-0.009495179297470674
"Pennsylvania",11866728,22,539397,12814,2.433424550355784
"Rhode Island",947154,2,473577,-53006,-10.066029476834611
"South Carolina",3119208,6,519868,-6715,-1.2752025796503115
"South Dakota",690178,1,690178,163595,31.0672771433943
"Tennessee",4590750,9,510083,-16500,-3.133409168165322
"Texas",14228383,27,526977,394,0.07482201286406891
"Utah",1461037,3,487012,-39571,-7.514674799604242
"Vermont",511456,1,511456,-15127,-2.872671544656778
"Virginia",5346279,10,534628,8045,1.5277743489630315
"Washington",4130163,8,516270,-10313,-1.9584756818963014
"West Virginia",1949644,4,487411,-39172,-7.438903268810424
"Wisconsin",4705335,9,522815,-3768,-0.71555671185739
"Wyoming",470816,1,470816,-55767,-10.590353277640942
"Puerto Rico",3196520,6,532753,6170,1.1717051253078812
"TOTAL",229063694,435,526583,0,0.0
