"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",5030053,7,718579,-51733,-6.715850200957534
"Alaska",736081,1,736081,-34231,-4.443783817466169
"Arizona",7158923,9,795436,25124,3.2615355855809076
"Arkansas",3013756,4,753439,-16873,-2.1904111580762082
"California",39576757,51,776015,5703,0.7403493649326507
"Colorado",5782171,7,826024,55712,7.232394146787276
"Connecticut",3608298,5,721660,-48652,-6.315882395704597
"Delaware",990837,1,990837,220525,28.6280104684855
"Florida",21570527,28,770376,64,0.008308321822845808
"Georgia",10725274,14,766091,-4221,-0.5479597877223774
"Hawaii",1460137,2,730068,-40244,-5.22437661622823
"Idaho",1841377,2,920688,150376,19.521440663004082
"Illinois",12822739,17,754279,-16033,-2.081364434151357
"Indiana",6790280,9,754476,-15836,-2.05579038104041
"Iowa",3192406,4,798102,27790,3.607629116513828
"Kansas",2940865,4,735216,-35096,-4.55607597960307
"Kentucky",4509342,6,751557,-18755,-2.434727746679268
"Louisiana",4661468,6,776911,6599,0.8566658704524921
"Maine",1363582,2,681791,-88521,-11.49157743875209
"Maryland",6185278,8,773160,2848,0.36972032111663844
"Massachusetts",7033469,9,781497,11185,1.4520090560707868
"Michigan",10084442,13,775726,5414,0.7028320992013626
"Minnesota",5709752,7,815679,45367,5.88943181464134
"Mississippi",2963914,4,740978,-29334,-3.808067380489983
"Missouri",6160281,8,770035,-277,-0.03595945538950451
"Montana",1085407,1,1085407,315095,40.904854137025
"Nebraska",1963333,3,654444,-115868,-15.041697390148407
"Nevada",3108462,4,777116,6804,0.8832784637912949
"New Hampshire",1379089,2,689544,-80768,-10.48510214043141
"New Jersey",9294493,12,774541,4229,0.5489983279502332
"New Mexico",2120220,3,706740,-63572,-8.252759920655526
"New York",20215751,26,777529,7217,0.9368931030543468
"North Carolina",10453948,14,746711,-23601,-3.0638234897028735
"North Dakota",779702,1,779702,9390,1.2189865924456584
"Ohio",11808848,15,787257,16945,2.1997580201269096
"Oklahoma",3963516,5,792703,22391,2.9067442802396948
"Oregon",4241500,5,848300,77988,10.124209411251545
"Pennsylvania",13011844,17,765403,-4909,-0.6372742473179699
"Rhode Island",1098163,2,549082,-221230,-28.719531826065282
"South Carolina",5124712,7,732102,-38210,-4.960327763295911
"South Dakota",887770,1,887770,117458,15.248107260434733
"Tennessee",6916897,9,768544,-1768,-0.22951739035611546
"Texas",29183290,38,767981,-2331,-0.30260465889146215
"Utah",3275252,4,818813,48501,6.2962799489038215
"Vermont",643503,1,643503,-126809,-16.462030969269595
"Virginia",8654542,11,786777,16465,2.137445606455566
"Washington",7715946,10,771595,1283,0.16655588904236207
"West Virginia",1795045,2,897522,127210,16.514087798190864
"Wisconsin",5897473,8,737184,-33128,-4.300595083550561
"Wyoming",577719,1,577719,-192593,-25.00194726292723
"District of Columbia",691533,1,691533,-78779,-10.22689507628078
"Puerto Rico",3285874,4,821468,51156,6.640945487023441
"TOTAL",335085841,435,770312,0,0.0
