"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646248,11,240568,-8925,-3.577254672475781
"Arizona",435573,2,217786,-31707,-12.70857298601564
"Arkansas",1854482,7,264926,15433,6.18574469023179
"California",5677251,23,246837,-2656,-1.0645589255009158
"Colorado",1035791,4,258948,9455,3.789685482157816
"Connecticut",1606903,6,267817,18324,7.344494635120023
"Delaware",238380,1,238380,-11113,-4.454233184898975
"Florida",1468211,6,244702,-4791,-1.9202943569559068
"Georgia",2908506,12,242376,-7117,-2.8525850424661217
"Idaho",445032,2,222516,-26977,-10.812728212815589
"Illinois",7630654,30,254355,4862,1.94875206919633
"Indiana",3238503,13,249116,-377,-0.15110644386816466
"Iowa",2470939,10,247094,-2399,-0.9615500234475516
"Kansas",1880999,7,268714,19221,7.704023760185656
"Kentucky",2614589,10,261459,11966,4.796126544632514
"Louisiana",2101593,8,262699,13206,5.293134476718786
"Maine",797423,3,265808,16315,6.5392616225705735
"Maryland",1631526,7,233075,-16418,-6.5805453459616094
"Massachusetts",4249614,17,249977,484,0.19399341865302833
"Michigan",4842325,19,254859,5366,2.150761744818492
"Minnesota",2563953,10,256395,6902,2.7664102800479373
"Mississippi",2009821,8,251228,1735,0.6954102920723227
"Missouri",3629367,14,259240,9747,3.9067228339071636
"Montana",537606,2,268803,19310,7.7396961036983
"Nebraska",1377963,6,229660,-19833,-7.949321223441139
"Nevada",91058,1,91058,-158435,-63.50278364523253
"New Hampshire",465293,2,232646,-16847,-6.752494057949522
"New Jersey",4041334,16,252583,3090,1.2385117017311107
"New Mexico",423317,2,211658,-37835,-15.164754121358115
"New York",12588066,50,251761,2268,0.9090435402997279
"North Carolina",3170276,13,243867,-5626,-2.2549730854172263
"North Dakota",680845,3,226948,-22545,-9.036325668455628
"Ohio",6646697,26,255642,6149,2.4645982051600646
"Oklahoma",2396040,10,239604,-9889,-3.963638258388011
"Oregon",953786,4,238446,-11047,-4.427779536900835
"Pennsylvania",9631350,38,253457,3964,1.5888221312822404
"Rhode Island",687497,3,229166,-20327,-8.147322770578734
"South Carolina",1738765,7,248395,-1098,-0.44009250760542384
"South Dakota",692849,3,230950,-18543,-7.432272648932034
"Tennessee",2616556,10,261656,12163,4.875086675778479
"Texas",5824715,23,253248,3755,1.5050522459547964
"Utah",507847,2,253924,4431,1.7760017315115055
"Vermont",359611,2,179806,-69687,-27.931444970399973
"Virginia",2421851,10,242185,-7308,-2.929140296521345
"Washington",1563396,6,260566,11073,4.4382006709607085
"West Virginia",1729205,7,247029,-2464,-0.9876028585972353
"Wisconsin",2939006,12,244917,-4576,-1.8341195945377224
"Wyoming",225565,1,225565,-23928,-9.590649837871203
"Alaska",59278,1,59278,-190215,-76.24061596918551
"Hawaii",368336,2,184168,-65325,-26.183099325431975
"District of Columbia",486869,2,243434,-6059,-2.4285250487989645
"Puerto Rico",1543913,6,257319,7826,3.1367613520219004
"TOTAL",124746573,500,249493,0,0.0
