"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,7,637304,142000,28.669261705942212
"Alaska",628933,1,628933,133629,26.979188538755995
"Arizona",5140683,8,642585,147281,29.735475586710386
"Arkansas",2679733,4,669933,174629,35.25693311582382
"California",33930798,53,640204,144900,29.25476071261286
"Colorado",4311882,7,615983,120679,24.364632629657745
"Connecticut",3409535,5,681907,186603,37.67443832474601
"Delaware",785068,1,785068,289764,58.50225316169464
"Florida",16028890,25,641156,145852,29.44696590376819
"Georgia",8206975,13,631306,136002,27.458288243179947
"Hawaii",1216642,2,608321,113017,22.81770387479205
"Idaho",1297274,2,648637,153333,30.95735144476927
"Illinois",12439042,19,654686,159382,32.17862161420057
"Indiana",6090782,9,676754,181450,36.63406715875503
"Iowa",2931923,5,586385,91081,18.388908629851567
"Kansas",2693824,4,673456,178152,35.96821346082406
"Kentucky",4049431,6,674905,179601,36.260761067950185
"Louisiana",4480271,7,640039,144735,29.221447838095393
"Maine",1277731,2,638866,143562,28.984623584707574
"Maryland",5307886,8,663486,168182,33.9553082551322
"Massachusetts",6355568,10,635557,140253,28.31654902847544
"Michigan",9955829,15,663722,168418,34.00295576050264
"Minnesota",4925670,8,615709,120405,24.30931306833783
"Mississippi",2852927,4,713232,217928,43.99883707783503
"Missouri",5606260,9,622918,127614,25.764782840437388
"Montana",905316,1,905316,410012,82.77986852518858
"Nebraska",1715369,3,571790,76486,15.442233456624619
"Nevada",2002032,3,667344,172040,34.73422383021336
"New Hampshire",1238415,2,619208,123904,25.015747904317347
"New Jersey",8424354,13,648027,152723,30.83419475715924
"New Mexico",1823821,3,607940,112636,22.740781419088073
"New York",19004973,29,655344,160040,32.31146931985205
"North Carolina",8067673,13,620590,125286,25.294768465427293
"North Dakota",643756,1,643756,148452,29.97189604767981
"Ohio",11374540,18,631919,136615,27.58205061941757
"Oklahoma",3458819,5,691764,196460,39.66452925879864
"Oregon",3428543,5,685709,190405,38.442047712112156
"Pennsylvania",12300670,19,647404,152100,30.70841341882965
"Rhode Island",1049662,2,524831,29527,5.961389368953209
"South Carolina",4025061,6,670844,175540,35.44086056240208
"South Dakota",756874,1,756874,261570,52.809991439600736
"Tennessee",5700037,9,633337,138033,27.8683394440586
"Texas",20903994,32,653250,157946,31.888698657794002
"Utah",2236714,3,745571,250267,50.52795858704957
"Vermont",609890,1,609890,114586,23.13447902702179
"Virginia",7100702,11,645518,150214,30.327637168284525
"Washington",5908684,9,656520,161216,32.54889926186746
"West Virginia",1813077,3,604359,109055,22.01779109395442
"Wisconsin",5371210,8,671401,176097,35.55331675092469
"Wyoming",495304,1,495304,0,0.0
"TOTAL",281424177,435,646952,151648,30.617156332272703
