"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,7,637304,-5405,-0.8409715750051734
"Arizona",5140683,8,642585,-124,-0.01929333493073848
"Arkansas",2679733,4,669933,27224,4.235820565761488
"California",33930798,53,640204,-2505,-0.3897564838830637
"Colorado",4311882,7,615983,-26726,-4.15833604321707
"Connecticut",3409535,5,681907,39198,6.098872117863605
"Delaware",785068,1,785068,142359,22.1498376403629
"Florida",16028890,25,641156,-1553,-0.24163346086642631
"Georgia",8206975,13,631306,-11403,-1.7742088565742817
"Idaho",1297274,2,648637,5928,0.9223458828178849
"Illinois",12439042,19,654686,11977,1.8635183263343131
"Indiana",6090782,9,676754,34045,5.297109578362836
"Iowa",2931923,5,586385,-56324,-8.76353061805576
"Kansas",2693824,4,673456,30747,4.7839691057694855
"Kentucky",4049431,6,674905,32196,5.009421059919808
"Louisiana",4480271,7,640039,-2670,-0.4154290666538044
"Maine",1277731,2,638866,-3843,-0.5979377914421612
"Maryland",5307886,8,663486,20777,3.232722740773818
"Massachusetts",6355568,10,635557,-7152,-1.1127897695535616
"Michigan",9955829,15,663722,21013,3.2694423137065143
"Minnesota",4925670,8,615709,-27000,-4.200968089757573
"Mississippi",2852927,4,713232,70523,10.972773059036049
"Missouri",5606260,9,622918,-19791,-3.079309609792301
"Montana",905316,1,905316,262607,40.859393598035815
"Nebraska",1715369,3,571790,-70919,-11.034387257685827
"Nevada",2002032,3,667344,24635,3.832994403376956
"New Hampshire",1238415,2,619208,-23501,-3.6565537436071383
"New Jersey",8424354,13,648027,5318,0.8274351222715101
"New Mexico",1823821,3,607940,-34769,-5.409757759732631
"New York",19004973,30,633499,-9210,-1.4329968928395278
"North Carolina",8067673,13,620590,-22119,-3.4415264139758426
"North Dakota",643756,1,643756,1047,0.16290420703615477
"Ohio",11374540,18,631919,-10790,-1.6788313217957116
"Oklahoma",3458819,5,691764,49055,7.632536653446582
"Oregon",3428543,5,685709,43000,6.690430661465764
"Pennsylvania",12300670,19,647404,4695,0.7305016733856224
"Rhode Island",1049662,2,524831,-117878,-18.34080431423864
"South Carolina",4025061,6,670844,28135,4.377564340938123
"South Dakota",756874,1,756874,114165,17.763093406191604
"Tennessee",5700037,9,633337,-9372,-1.4582027013780732
"Texas",20903994,33,633454,-9255,-1.439998506322457
"Utah",2236714,4,559178,-83531,-12.99670612983481
"Vermont",609890,1,609890,-32819,-5.106354508805696
"Virginia",7100702,11,645518,2809,0.4370562727455194
"Washington",5908684,9,656520,13811,2.1488729736163648
"West Virginia",1813077,3,604359,-38350,-5.966930601563071
"Wisconsin",5371210,8,671401,28692,4.464228756715714
"Wyoming",495304,1,495304,-147405,-22.934951898915372
"TOTAL",279578602,435,642709,0,0.0
