"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,10,446113,19275,4.515764763212273
"Arizona",5140683,12,428390,1552,0.3636039902726561
"Arkansas",2679733,6,446622,19784,4.635013752290096
"California",33930798,79,429504,2666,0.6245929368987766
"Colorado",4311882,10,431188,4350,1.019122008818334
"Connecticut",3409535,8,426192,-646,-0.15134547533256176
"Delaware",785068,2,392534,-34304,-8.036772733449224
"Florida",16028890,38,421813,-5025,-1.1772616308763513
"Georgia",8206975,19,431946,5108,1.1967069473664482
"Idaho",1297274,3,432425,5587,1.3089275087972485
"Illinois",12439042,29,428932,2094,0.4905842497622048
"Indiana",6090782,14,435056,8218,1.9253206134411651
"Iowa",2931923,7,418846,-7992,-1.8723731251669251
"Kansas",2693824,6,448971,22133,5.185339637051997
"Kentucky",4049431,9,449937,23099,5.411655007286137
"Louisiana",4480271,11,407297,-19541,-4.578083488349209
"Maine",1277731,3,425910,-928,-0.2174126952145779
"Maryland",5307886,12,442324,15486,3.6280743513932685
"Massachusetts",6355568,15,423705,-3133,-0.7340021272707677
"Michigan",9955829,23,432862,6024,1.411308271522217
"Minnesota",4925670,12,410472,-16366,-3.83424156237261
"Mississippi",2852927,7,407561,-19277,-4.516233325055408
"Missouri",5606260,13,431251,4413,1.0338817068770823
"Montana",905316,2,452658,25820,6.049133394871122
"Nebraska",1715369,4,428842,2004,0.4694989668211359
"Nevada",2002032,5,400406,-26432,-6.192513318870391
"New Hampshire",1238415,3,412805,-14033,-3.2876641723557887
"New Jersey",8424354,20,421218,-5620,-1.316658779208974
"New Mexico",1823821,4,455955,29117,6.821557593278948
"New York",19004973,44,431931,5093,1.1931927335429366
"North Carolina",8067673,19,424614,-2224,-0.5210407695659711
"North Dakota",643756,2,321878,-104960,-24.590125527717777
"Ohio",11374540,27,421279,-5559,-1.3023676429933604
"Oklahoma",3458819,8,432352,5514,1.291825001522826
"Oregon",3428543,8,428568,1730,0.4053059943116592
"Pennsylvania",12300670,29,424161,-2677,-0.6271700270360183
"Rhode Island",1049662,3,349887,-76951,-18.028151195535543
"South Carolina",4025061,9,447229,20391,4.777222271681528
"South Dakota",756874,2,378437,-48401,-11.33943088478533
"Tennessee",5700037,13,438464,11626,2.723749994142977
"Texas",20903994,49,426612,-226,-0.052947488274239875
"Utah",2236714,5,447343,20505,4.803930296740215
"Vermont",609890,2,304945,-121893,-28.557204372619122
"Virginia",7100702,17,417688,-9150,-2.1436704323420126
"Washington",5908684,14,422049,-4789,-1.121971333386437
"West Virginia",1813077,4,453269,26431,6.192279037948824
"Wisconsin",5371210,13,413170,-13668,-3.2021516359836752
"Wyoming",495304,1,495304,68466,16.040277576035873
"TOTAL",279578602,655,426838,0,0.0
