"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2138093,10,213809,10373,5.098900882832931
"Arkansas",1574449,8,196806,-6630,-3.259010204683537
"California",2376561,12,198047,-5389,-2.6489903458581567
"Colorado",798572,4,199643,-3793,-1.8644684323325271
"Connecticut",1114756,5,222951,19515,9.592697457677108
"Delaware",202322,1,202322,-1114,-0.5475923632002202
"Florida",752619,4,188155,-15281,-7.51145323344934
"Georgia",2609121,13,200702,-2734,-1.3439115987337542
"Idaho",323440,2,161720,-41716,-20.50571187007216
"Illinois",5638591,28,201378,-2058,-1.0116203621777855
"Indiana",2700876,13,207760,4324,2.125484181757408
"Iowa",2224771,11,202252,-1184,-0.5820012190566074
"Kansas",1690949,8,211369,7933,3.899506478696003
"Kentucky",2289905,11,208173,4737,2.3284964313100924
"Louisiana",1656388,8,207048,3612,1.7754969621895829
"Maine",742371,4,185593,-17843,-8.770817357793115
"Maryland",1295346,6,215891,12455,6.1223185670186195
"Massachusetts",3366416,16,210401,6965,3.423681157710533
"Michigan",2810173,14,200727,-2709,-1.3316227216421872
"Minnesota",2074376,10,207438,4002,1.9672034448180262
"Mississippi",1797114,9,199679,-3757,-1.846772449320671
"Missouri",3293335,16,205833,2397,1.1782575355394325
"Montana",366338,2,183169,-20267,-9.96234688059144
"Nebraska",1192214,6,198702,-4734,-2.327021766059105
"Nevada",80293,1,80293,-123143,-60.53156766747282
"New Hampshire",430572,2,215286,11850,5.824927741402702
"New Jersey",2537167,12,211431,7995,3.9299828938830883
"New York",9108934,44,207021,3585,1.7622249749306909
"North Carolina",2206287,11,200572,-2864,-1.4078137596099018
"North Dakota",574403,3,191468,-11968,-5.882931241274898
"Ohio",4767121,23,207266,3830,1.882655970428046
"Oklahoma",1657155,8,207144,3708,1.8226862502211998
"Oregon",672765,3,224255,20819,10.233685286773236
"Pennsylvania",7665111,37,207165,3729,1.8330089069781161
"Rhode Island",542610,3,180870,-22566,-11.092432017931928
"South Carolina",1515400,7,216486,13050,6.414793841797913
"South Dakota",575676,3,191892,-11544,-5.674511885801923
"Tennessee",2184789,11,198617,-4819,-2.368803948170432
"Texas",3896542,19,205081,1645,0.8086081126251008
"Utah",371864,2,185932,-17504,-8.604180184431467
"Vermont",355956,2,177978,-25458,-12.514009319884387
"Virginia",2061612,10,206161,2725,1.33948760298079
"Washington",1140134,6,190022,-13414,-6.593719892251125
"West Virginia",1221119,6,203520,84,0.04129062702766472
"Wisconsin",2332853,11,212078,8642,4.248019033012839
"Wyoming",144658,1,144658,-58778,-28.892624707524728
"Arizona",180225,1,180225,-23211,-11.409485046894355
"New Mexico",316983,2,158492,-44944,-22.092451680135277
"Alaska",64356,1,64356,-139080,-68.36548103580488
"Hawaii",191909,1,191909,-11527,-5.666155449379658
"District of Columbia",331069,2,165534,-37902,-18.63092078098272
"TOTAL",92156659,453,203436,0,0.0
