"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4062608,7,580373,124398,27.281758868359013
"Alaska",551947,1,551947,95972,21.04764515598443
"Arizona",3677985,6,612998,157023,34.43675640111849
"Arkansas",2362239,4,590560,134585,29.515872580733593
"California",29839250,52,573832,117857,25.84725039749986
"Colorado",3307912,6,551319,95344,20.90991830692472
"Connecticut",3295669,6,549278,93303,20.462306047480673
"Delaware",668696,1,668696,212721,46.65189977520697
"Florida",13003362,23,565364,109389,23.99013103788585
"Georgia",6508419,11,591674,135699,29.76018422062613
"Hawaii",1115274,2,557637,101662,22.295520587751522
"Idaho",1011986,2,505993,50018,10.969461045013434
"Illinois",11466682,20,573334,117359,25.73803388343659
"Indiana",5564228,10,556423,100448,22.029277920938647
"Iowa",2787424,5,557485,101510,22.262185426832612
"Kansas",2485600,4,621400,165425,36.279401282965075
"Kentucky",3698969,6,616495,160520,35.20368441252262
"Louisiana",4238216,7,605459,149484,32.783376281594386
"Maine",1233223,2,616612,160637,35.22934371401941
"Maryland",4798622,8,599828,143853,31.54844015571029
"Massachusetts",6029051,10,602905,146930,32.22325785404902
"Michigan",9328784,16,583049,127074,27.86863314874719
"Minnesota",4387029,8,548379,92404,20.265146115466855
"Mississippi",2586443,5,517289,61314,13.446789845934537
"Missouri",5137804,9,570867,114892,25.196995449311917
"Montana",803655,1,803655,347680,76.24979439662262
"Nebraska",1584617,3,528206,72231,15.841000054827568
"Nevada",1206152,2,603076,147101,32.26075991008279
"New Hampshire",1113915,2,556958,100983,22.146608914962442
"New Jersey",7748634,13,596049,140074,30.71966664839081
"New Mexico",1521779,3,507260,51285,11.247327156094084
"New York",18044505,31,582081,126106,27.65634080815834
"North Carolina",6657630,12,554802,98827,21.67377597456001
"North Dakota",641364,1,641364,185389,40.65771149734086
"Ohio",10887325,19,573017,117042,25.66851252809913
"Oklahoma",3157604,6,526267,70292,15.415757442842262
"Oregon",2853733,5,570747,114772,25.170678217007513
"Pennsylvania",11924710,21,567843,111868,24.53380119524097
"Rhode Island",1005984,2,502992,47017,10.311310927134162
"South Carolina",3505707,6,584284,128309,28.139481331213332
"South Dakota",699999,1,699999,244024,53.51696913207961
"Tennessee",4896641,9,544071,88096,19.3203574757388
"Texas",17059805,30,568660,112685,24.71297768518011
"Utah",1727784,3,575928,119953,26.306924721750097
"Vermont",564964,1,564964,108989,23.902406930204506
"Virginia",6216568,11,565143,109168,23.94166346839191
"Washington",4887941,9,543105,87130,19.10850375568836
"West Virginia",1801625,3,600542,144567,31.70502768792149
"Wisconsin",4906745,9,545194,89219,19.56664290805417
"Wyoming",455975,1,455975,0,0.0
"TOTAL",249022783,435,572466,116491,25.547672569768082
