"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2832961,26,108960,-1287,-1.1673787041824268
"Arizona",499261,5,99852,-10395,-9.428827995319601
"Arkansas",1949387,18,108299,-1948,-1.7669415040772085
"California",6907387,63,109641,-606,-0.5496748210835669
"Colorado",1123296,10,112330,2083,1.8893938157047356
"Connecticut",1709242,16,106828,-3419,-3.101218173737154
"Delaware",266505,2,133252,23005,20.866780955490853
"Florida",1897414,17,111613,1366,1.2390359828385353
"Georgia",3123723,28,111562,1315,1.192776220668136
"Idaho",524873,5,104975,-5272,-4.7819895325949915
"Illinois",7897241,72,109684,-563,-0.5106714921947989
"Indiana",3427796,31,110574,327,0.2966067103866772
"Iowa",2538268,23,110359,112,0.10159006594283744
"Kansas",1801028,16,112564,2317,2.10164448919245
"Kentucky",2845627,26,109447,-800,-0.7256433281631247
"Louisiana",2363880,21,112566,2319,2.1034585975128577
"Maine",847226,8,105903,-4344,-3.940243271925767
"Maryland",1821244,17,107132,-3115,-2.8254737090351667
"Massachusetts",4316721,39,110685,438,0.3972897221693107
"Michigan",5256106,48,109502,-745,-0.6757553493519098
"Minnesota",2792300,25,111692,1445,1.3106932614946438
"Mississippi",2183796,20,109190,-1057,-0.9587562473355284
"Missouri",3784664,34,111314,1067,0.9678267889375675
"Montana",559456,5,111891,1644,1.4911970393752212
"Nebraska",1315834,12,109653,-594,-0.53879017116112
"Nevada",110247,1,110247,0,0.0
"New Hampshire",491524,4,122881,12634,11.459722260016147
"New Jersey",4160165,38,109478,-769,-0.6975246491968036
"New Mexico",531818,5,106364,-3883,-3.5220913040717656
"New York",13479142,122,110485,238,0.21587889012852957
"North Carolina",3571623,32,111613,1366,1.2390359828385353
"North Dakota",641935,6,106989,-3258,-2.955182453944325
"Ohio",6907612,63,109645,-602,-0.5460466044427512
"Oklahoma",2336434,21,111259,1012,0.9179388101263527
"Oregon",1089684,10,108968,-1279,-1.1601222709007954
"Pennsylvania",9900180,90,110002,-245,-0.22222826924995692
"Rhode Island",713346,7,101907,-8340,-7.564831696100574
"South Carolina",1899804,17,111753,1506,1.3660235652670822
"South Dakota",642961,6,107160,-3087,-2.800076192549457
"Tennessee",2915841,26,112148,1901,1.724309958547625
"Texas",6414824,58,110600,353,0.32019011855197876
"Utah",550310,5,110062,-185,-0.16780501963772257
"Vermont",359231,3,119744,9497,8.614293359456493
"Virginia",2677773,24,111574,1327,1.203660870590583
"Washington",1736191,16,108512,-1735,-1.5737389679537763
"West Virginia",1901974,17,111881,1634,1.482126497773182
"Wisconsin",3137587,29,108193,-2054,-1.8630892450588226
"Wyoming",250742,2,125371,15124,13.718287118923872
"TOTAL",131006184,1189,110182,-65,-0.058958520413253876
