"AREA","RESIDENT_POPULATION","POPULATION_NOT_TAXED"
"Alabama",2832961,0
"Arizona",499261,0
"Arkansas",1949387,0
"California",6907387,0
"Colorado",1123296,0
"Connecticut",1709242,0
"Delaware",266505,0
"Florida",1897414,0
"Georgia",3123723,0
"Idaho",524873,0
"Illinois",7897241,0
"Indiana",3427796,0
"Iowa",2538268,0
"Kansas",1801028,0
"Kentucky",2845627,0
"Louisiana",2363880,0
"Maine",847226,0
"Maryland",1821244,0
"Massachusetts",4316721,0
"Michigan",5256106,0
"Minnesota",2792300,0
"Mississippi",2183796,0
"Missouri",3784664,0
"Montana",559456,0
"Nebraska",1315834,0
"Nevada",110247,0
"New Hampshire",491524,0
"New Jersey",4160165,0
"New Mexico",531818,0
"New York",13479142,0
"North Carolina",3571623,0
"North Dakota",641935,0
"Ohio",6907612,0
"Oklahoma",2336434,0
"Oregon",1089684,0
"Pennsylvania",9900180,0
"Rhode Island",713346,0
"South Carolina",1899804,0
"South Dakota",642961,0
"Tennessee",2915841,0
"Texas",6414824,0
"Utah",550310,0
"Vermont",359231,0
"Virginia",2677773,0
"Washington",1736191,0
"West Virginia",1901974,0
"Wisconsin",3137587,0
"Wyoming",250742,0
"Alaska",72524,0
"Hawaii",423330,0
"District of Columbia",663091,0
"Puerto Rico",1869255,0
