"AREA","RESIDENT_POPULATION","OVERSEAS_POPULATION"
"Alabama",4447100,14030
"Alaska",626932,2001
"Arizona",5130632,10051
"Arkansas",2673400,6333
"California",33871648,59150
"Colorado",4301261,10621
"Connecticut",3405565,3970
"Delaware",783600,1468
"Florida",15982378,46512
"Georgia",8186453,20522
"Hawaii",1211537,5105
"Idaho",1293953,3321
"Illinois",12419293,19749
"Indiana",6080485,10297
"Iowa",2926324,5599
"Kansas",2688418,5406
"Kentucky",4041769,7662
"Louisiana",4468976,11295
"Maine",1274923,2808
"Maryland",5296486,11400
"Massachusetts",6349097,6471
"Michigan",9938444,17385
"Minnesota",4919479,6191
"Mississippi",2844658,8269
"Missouri",5595211,11049
"Montana",902195,3121
"Nebraska",1711263,4106
"Nevada",1998257,3775
"New Hampshire",1235786,2629
"New Jersey",8414350,10004
"New Mexico",1819046,4775
"New York",18976457,28516
"North Carolina",8049313,18360
"North Dakota",642200,1556
"Ohio",11353140,21400
"Oklahoma",3450654,8165
"Oregon",3421399,7144
"Pennsylvania",12281054,19616
"Rhode Island",1048319,1343
"South Carolina",4012012,13049
"South Dakota",754844,2030
"Tennessee",5689283,10754
"Texas",20851820,52174
"Utah",2233169,3545
"Vermont",608827,1063
"Virginia",7078515,22187
"Washington",5894121,14563
"West Virginia",1808344,4733
"Wisconsin",5363675,7535
"Wyoming",493782,1522
"District of Columbia",572059,2037
"Puerto Rico",3522037,0
