"AREA","RESIDENT_POPULATION","OVERSEAS_POPULATION"
"Alabama",5024279,5774
"Alaska",733391,2690
"Arizona",7151502,7421
"Arkansas",3011524,2232
"California",39538223,38534
"Colorado",5773714,8457
"Connecticut",3605944,2354
"Delaware",989948,889
"Florida",21538187,32340
"Georgia",10711908,13366
"Hawaii",1455271,4866
"Idaho",1839106,2271
"Illinois",12812508,10231
"Indiana",6785528,4752
"Iowa",3190369,2037
"Kansas",2937880,2985
"Kentucky",4505836,3506
"Louisiana",4657757,3711
"Maine",1362359,1223
"Maryland",6177224,8054
"Massachusetts",7029917,3552
"Michigan",10077331,7111
"Minnesota",5706494,3258
"Mississippi",2961279,2635
"Missouri",6154913,5368
"Montana",1084225,1182
"Nebraska",1961504,1829
"Nevada",3104614,3848
"New Hampshire",1377529,1560
"New Jersey",9288994,5499
"New Mexico",2117522,2698
"New York",20201249,14502
"North Carolina",10439388,14560
"North Dakota",779094,608
"Ohio",11799448,9400
"Oklahoma",3959353,4163
"Oregon",4237256,4244
"Pennsylvania",13002700,9144
"Rhode Island",1097379,784
"South Carolina",5118425,6287
"South Dakota",886667,1103
"Tennessee",6910840,6057
"Texas",29145505,37785
"Utah",3271616,3636
"Vermont",643077,426
"Virginia",8631393,23149
"Washington",7705281,10665
"West Virginia",1793716,1329
"Wisconsin",5893718,3755
"Wyoming",576851,868
"District of Columbia",689545,1988
"Puerto Rico",3285874,0
