"AREA","RESIDENT_POPULATION","OVERSEAS_POPULATION"
"Alabama",4040587,22021
"Alaska",550043,1904
"Arizona",3665228,12757
"Arkansas",2350725,11514
"California",29760021,79229
"Colorado",3294394,13518
"Connecticut",3287116,8553
"Delaware",666168,2528
"Florida",12937926,65436
"Georgia",6478216,30203
"Hawaii",1108229,7045
"Idaho",1006749,5237
"Illinois",11430602,36080
"Indiana",5544159,20069
"Iowa",2776755,10669
"Kansas",2477574,8026
"Kentucky",3685296,13673
"Louisiana",4219973,18243
"Maine",1227928,5295
"Maryland",4781468,17154
"Massachusetts",6016425,12626
"Michigan",9295297,33487
"Minnesota",4375099,11930
"Mississippi",2573216,13227
"Missouri",5117073,20731
"Montana",799065,4590
"Nebraska",1578385,6232
"Nevada",1201833,4319
"New Hampshire",1109252,4663
"New Jersey",7730188,18446
"New Mexico",1515069,6710
"New York",17990455,54050
"North Carolina",6628637,28993
"North Dakota",638800,2564
"Ohio",10847115,40210
"Oklahoma",3145585,12019
"Oregon",2842321,11412
"Pennsylvania",11881643,43067
"Rhode Island",1003464,2520
"South Carolina",3486703,19004
"South Dakota",696004,3995
"Tennessee",4877185,19456
"Texas",16986510,73295
"Utah",1722850,4934
"Vermont",562758,2206
"Virginia",6187358,29210
"Washington",4866692,21249
"West Virginia",1793477,8148
"Wisconsin",4891769,14976
"Wyoming",453588,2387
"District of Columbia",606900,3009
"Puerto Rico",3522037,0
