"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646242,11,240567,-5942,-2.41045965867372
"Arizona",389375,2,194688,-51821,-21.021950517019665
"Arkansas",1854444,7,264921,18412,7.469098491332973
"California",5668241,23,246445,-64,-0.025962540921426802
"Colorado",1034849,4,258712,12203,4.950326357252676
"Connecticut",1606897,6,267816,21307,8.643497803325639
"Delaware",238380,1,238380,-8129,-3.297648361723102
"Florida",1468191,6,244698,-1811,-0.7346587751359991
"Georgia",2908446,12,242370,-4139,-1.6790462011528993
"Idaho",441536,2,220768,-25741,-10.44221509153824
"Illinois",7630388,31,246142,-367,-0.14887894559630682
"Indiana",3238480,13,249114,2605,1.0567565484424504
"Iowa",2470420,10,247042,533,0.2162192861112576
"Kansas",1879498,8,234937,-11572,-4.6943519303554835
"Kentucky",2614575,10,261458,14949,6.064281628662646
"Louisiana",2101593,8,262699,16190,6.567711523717187
"Maine",797418,3,265806,19297,7.828111752512079
"Maryland",1631522,7,233075,-13434,-5.449699605288245
"Massachusetts",4249598,17,249976,3467,1.4064395214779175
"Michigan",4842052,19,254845,8336,3.3816209550158414
"Minnesota",2551583,10,255158,8649,3.508594006709694
"Mississippi",2008154,8,251019,4510,1.829547805556795
"Missouri",3629110,15,241941,-4568,-1.8530763582668381
"Montana",524729,2,262364,15855,6.431813848581594
"Nebraska",1375123,6,229187,-17322,-7.026923966264924
"Nevada",86390,1,86390,-160119,-64.95462640309279
"New Hampshire",465292,2,232646,-13863,-5.623729762402184
"New Jersey",4041319,16,252582,6073,2.4636017346222654
"New Mexico",395982,2,197991,-48518,-19.6820400066529
"New York",12587967,50,251759,5250,2.1297396849607924
"North Carolina",3167274,13,243636,-2873,-1.165474688550925
"North Dakota",673340,3,224447,-22062,-8.949774653258096
"Ohio",6646633,27,246172,-337,-0.136709004539388
"Oklahoma",2382222,10,238222,-8287,-3.3617433846228737
"Oregon",950379,4,237595,-8914,-3.616095152712477
"Pennsylvania",9631299,39,246956,447,0.18133212174809035
"Rhode Island",687497,3,229166,-17343,-7.035442925004766
"South Carolina",1738760,7,248394,1885,0.7646779630763988
"South Dakota",673005,3,224335,-22174,-8.995209099870593
"Tennessee",2616497,10,261650,15141,6.1421692514269255
"Texas",5824601,23,253244,6735,2.732151767278274
"Utah",505741,2,252870,6361,2.580433168768686
"Vermont",359611,2,179806,-66703,-27.059052610655186
"Virginia",2421829,10,242183,-4326,-1.754905500407693
"Washington",1552423,6,258737,12228,4.960467974800109
"West Virginia",1729199,7,247028,519,0.21053998028469548
"Wisconsin",2931721,12,244310,-2199,-0.8920566794721492
"Wyoming",223630,1,223630,-22879,-9.281202714708185
"Alaska",59278,1,59278,-187231,-75.95300780093221
"Hawaii",368336,2,184168,-62341,-25.289543180979194
"District of Columbia",486869,2,243434,-3075,-1.2474189583341784
"TOTAL",123007938,499,246509,0,0.0
