"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3061743,11,278340,-5573,-1.962925262316273
"Arizona",749587,3,249862,-34051,-11.99346278613519
"Arkansas",1909511,7,272787,-11126,-3.9188061131402927
"California",10586223,37,286114,2201,0.7752374847224326
"Colorado",1325089,5,265018,-18895,-6.655207757305935
"Connecticut",2007280,7,286754,2841,1.0006586524745258
"Delaware",318085,1,318085,34172,12.03608147566332
"Florida",2771305,10,277130,-6783,-2.389112157597574
"Georgia",3444578,12,287048,3135,1.1042115014106435
"Idaho",588637,2,294318,10405,3.6648550788445755
"Illinois",8712176,31,281038,-2875,-1.0126341520113555
"Indiana",3934224,14,281016,-2897,-1.0203830046528337
"Iowa",2621073,9,291230,7317,2.5771979444407265
"Kansas",1905299,7,272186,-11727,-4.130490678482493
"Kentucky",2944806,10,294481,10568,3.722267032506437
"Louisiana",2683516,9,298168,14255,5.02090429110326
"Maine",913774,3,304591,20678,7.283217041840281
"Maryland",2343001,8,292875,8962,3.1566007896785284
"Massachusetts",4690514,17,275913,-8000,-2.817764596901163
"Michigan",6371766,22,289626,5713,2.012236142762043
"Minnesota",2982483,11,271135,-12778,-4.500674502400384
"Mississippi",2178914,8,272364,-11549,-4.067795416201442
"Missouri",3954653,14,282475,-1438,-0.5064931862929841
"Montana",591024,2,295512,11599,4.085406444932074
"Nebraska",1325510,5,265102,-18811,-6.625621229038472
"Nevada",160083,1,160083,-123830,-43.61547375428388
"New Hampshire",533242,2,266621,-17292,-6.090598176201865
"New Jersey",4835329,17,284431,518,0.18245025764935033
"New Mexico",681187,2,340594,56681,19.964214389619357
"New York",14830192,52,285196,1283,0.45189899722802407
"North Carolina",4061929,14,290138,6225,2.192573076963718
"North Dakota",619636,2,309818,25905,9.12427398534058
"Ohio",7946627,28,283808,-105,-0.03698316033432777
"Oklahoma",2233351,8,279169,-4744,-1.67093440596239
"Oregon",1521341,5,304268,20355,7.169449796240397
"Pennsylvania",10498012,37,283730,-183,-0.06445636515411411
"Rhode Island",791896,3,263965,-19948,-7.02609602237305
"South Carolina",2117027,7,302432,18519,6.522772821251581
"South Dakota",652740,2,326370,42457,14.954228936329086
"Tennessee",3291718,12,274310,-9603,-3.382374178005234
"Texas",7711194,27,285600,1687,0.5941961093715328
"Utah",688862,2,344431,60518,21.315684734408073
"Vermont",377747,1,377747,93834,33.050265398202974
"Virginia",3318680,12,276557,-7356,-2.5909345468506197
"Washington",2378963,8,297370,13457,4.739832272562369
"West Virginia",2005552,7,286507,2594,0.9136601705452022
"Wisconsin",3434575,12,286215,2302,0.8108117627583098
"Wyoming",290529,1,290529,6616,2.3302913216372625
"Alaska",128643,1,128643,-155270,-54.68928862010546
"Hawaii",499794,2,249897,-34016,-11.981135066023747
"District of Columbia",802178,3,267393,-16520,-5.818683892600903
"TOTAL",151325798,533,283913,0,0.0
